Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Día,Hora,Jornada,Resultado
Valencia,3,80,80,80,12,Athletic Club,2,81,79,78,7,01/10/2017,12:00,7,2
Real Madrid,2,86,86,86,11,Espanyol,0,79,78,76,7,01/10/2017,16:15,7,2
Real Sociedad,4,80,78,76,13,Betis,4,79,79,76,10,01/10/2017,18:30,7,1
Barcelona,3,93,84,84,20,Las Palmas,0,77,74,75,5,01/10/2017,18:30,7,2
Villarreal,3,79,79,80,6,Eibar,0,77,78,75,3,01/10/2017,20:45,7,2
Espanyol,0,79,78,76,7,Levante,0,75,76,75,8,13/10/2017,21:00,8,1
Getafe,1,75,74,75,9,Real Madrid,2,86,86,86,13,14/10/2017,13:00,8,0
Athletic Club,1,81,79,78,9,Sevilla,0,80,80,79,9,14/10/2017,16:15,8,2
Alavés,0,77,75,74,3,Real Sociedad,2,80,78,76,17,14/10/2017,18:30,8,0
Atlético de Madrid,1,85,82,83,12,Barcelona,1,93,84,84,23,14/10/2017,20:45,8,1
Girona,1,79,76,75,6,Villarreal,2,79,79,80,9,15/10/2017,12:00,8,0
Betis,3,79,79,76,14,Valencia,6,80,80,80,15,15/10/2017,16:15,8,0
Eibar,0,77,78,75,3,Deportivo de La Coruña,0,79,77,77,9,15/10/2017,18:30,8,1
Málaga,0,75,75,75,4,Leganés,2,74,75,74,5,15/10/2017,20:45,8,0
Las Palmas,2,77,74,75,5,Celta de Vigo,5,78,78,78,13,16/10/2017,21:00,8,0
Levante,1,75,76,75,8,Getafe,1,75,74,75,10,21/10/2017,13:00,9,1
Barcelona,2,93,84,84,24,Málaga,0,75,75,75,4,21/10/2017,16:15,9,2
Valencia,4,80,80,80,21,Sevilla,0,80,80,79,9,21/10/2017,18:30,9,2
Betis,2,79,79,76,17,Alavés,0,77,75,74,3,21/10/2017,20:45,9,2
Villarreal,4,79,79,80,11,Las Palmas,0,77,74,75,7,22/10/2017,12:00,9,2
Real Madrid,3,86,86,86,15,Eibar,0,77,78,75,3,22/10/2017,16:15,9,2
Leganés,1,74,75,74,7,Athletic Club,0,81,79,78,10,22/10/2017,18:30,9,2
Celta de Vigo,0,78,78,78,18,Atlético de Madrid,1,85,82,83,13,22/10/2017,20:45,9,0
Deportivo de La Coruña,1,79,77,77,9,Girona,2,79,76,75,7,23/10/2017,20:00,9,0
Real Sociedad,1,80,78,76,19,Espanyol,1,79,78,76,7,23/10/2017,21:00,9,1
Alavés,1,77,75,74,3,Valencia,2,80,80,80,25,28/10/2017,13:00,10,0
Sevilla,2,80,80,79,9,Leganés,1,74,75,74,8,28/10/2017,18:30,10,2
Atlético de Madrid,1,85,82,83,14,Villarreal,1,79,79,80,15,28/10/2017,20:45,10,1
Athletic Club,0,81,79,78,10,Barcelona,2,93,84,84,26,28/10/2017,22:30,10,0
Málaga,2,75,75,75,4,Celta de Vigo,1,78,78,78,18,29/10/2017,12:00,10,2
Girona,2,79,76,75,9,Real Madrid,1,86,86,86,18,29/10/2017,16:15,10,2
Getafe,2,75,74,75,11,Real Sociedad,1,80,78,76,20,29/10/2017,18:30,10,2
Eibar,2,77,78,75,3,Levante,2,75,76,75,9,29/10/2017,20:45,10,1
Espanyol,1,79,78,76,8,Betis,0,79,79,76,19,30/10/2017,21:00,10,2
Las Palmas,1,77,74,75,7,Deportivo de La Coruña,3,79,77,77,10,30/10/2017,21:00,10,0
Betis,2,79,79,76,19,Getafe,2,75,74,75,13,03/11/2017,21:00,11,1
Alavés,1,77,75,74,4,Espanyol,0,79,78,76,9,04/11/2017,13:00,11,2
Barcelona,2,93,84,84,28,Sevilla,1,80,80,79,11,04/11/2017,16:15,11,2
Deportivo de La Coruña,0,79,77,77,13,Atlético de Madrid,1,85,82,83,15,04/11/2017,18:30,11,0
Valencia,3,80,80,80,27,Leganés,0,74,75,74,9,04/11/2017,20:45,11,2
Real Sociedad,3,80,78,76,21,Eibar,1,77,78,75,5,05/11/2017,12:00,11,2
