Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Día,Hora,Jornada,Resultado
Real Sociedad,1,80,78,76,50,Getafe,2,75,74,75,33,17/03/2018,13:00,29,0
Deportivo de La Coruña,1,79,77,77,25,Las Palmas,1,77,74,75,20,17/03/2018,16:15,29,1
Valencia,3,80,80,80,54,Alavés,1,77,75,74,25,17/03/2018,18:30,29,2
Betis,3,79,79,76,46,Espanyol,0,79,78,76,26,17/03/2018,20:45,29,2
Barcelona,2,93,84,84,72,Athletic Club,0,81,79,78,29,18/03/2018,12:00,29,2
Leganés,2,74,75,74,23,Sevilla,1,80,80,79,36,18/03/2018,16:15,29,2
Villarreal,2,79,79,80,38,Atlético de Madrid,1,85,82,83,48,18/03/2018,18:30,29,2
Celta de Vigo,0,78,78,78,45,Málaga,0,75,75,75,16,18/03/2018,18:30,29,1
Real Madrid,6,86,86,86,67,Girona,3,79,76,75,40,18/03/2018,20:45,29,2
Athletic Club,1,81,79,78,29,Celta de Vigo,1,78,78,78,45,31/03/2018,13:00,30,1
Girona,1,79,76,75,43,Levante,1,75,76,75,25,31/03/2018,16:15,30,1
Sevilla,2,80,80,79,37,Barcelona,2,93,84,84,74,31/03/2018,18:30,30,1
Las Palmas,0,77,74,75,21,Real Madrid,3,86,86,86,73,31/03/2018,20:45,30,0
Espanyol,0,79,78,76,26,Alavés,0,77,75,74,26,01/04/2018,12:00,30,1
Atlético de Madrid,1,85,82,83,49,Deportivo de La Coruña,0,79,77,77,26,01/04/2018,16:15,30,2
Leganés,0,74,75,74,25,Valencia,1,80,80,80,57,01/04/2018,18:30,30,0
Eibar,0,77,78,75,36,Real Sociedad,0,80,78,76,51,01/04/2018,18:30,30,1
Málaga,1,75,75,75,16,Villarreal,0,79,79,80,40,01/04/2018,20:45,30,2
Getafe,0,75,74,75,35,Betis,1,79,79,76,49,02/04/2018,21:00,30,0
Deportivo de La Coruña,3,79,77,77,26,Málaga,2,75,75,75,17,06/04/2018,21:00,31,2
Celta de Vigo,4,78,78,78,46,Sevilla,0,80,80,79,39,07/04/2018,13:00,31,2
Betis,2,79,79,76,50,Eibar,0,77,78,75,36,07/04/2018,16:15,31,2
Barcelona,3,93,84,84,76,Leganés,1,74,75,74,25,07/04/2018,18:30,31,2
Alavés,2,77,75,74,26,Getafe,0,75,74,75,35,07/04/2018,20:45,31,2
Valencia,1,80,80,80,58,Espanyol,0,79,78,76,26,08/04/2018,12:00,31,2
Real Madrid,1,86,86,86,76,Atlético de Madrid,1,85,82,83,50,08/04/2018,16:15,31,1
Real Sociedad,5,80,78,76,51,Girona,0,79,76,75,44,08/04/2018,18:30,31,2
Levante,2,75,76,75,26,Las Palmas,1,77,74,75,21,08/04/2018,20:45,31,2
Villarreal,1,79,79,80,40,Athletic Club,3,81,79,78,30,09/04/2018,21:00,31,0
Girona,0,79,76,75,44,Betis,1,79,79,76,52,13/04/2018,21:00,32,0
Barcelona,2,93,84,84,79,Valencia,1,80,80,80,59,14/04/2018,13:00,32,2
Las Palmas,0,77,74,75,22,Real Sociedad,1,80,78,76,56,14/04/2018,16:15,32,0
Leganés,1,74,75,74,26,Celta de Vigo,0,78,78,78,50,14/04/2018,18:30,32,2
Athletic Club,2,81,79,78,33,Deportivo de La Coruña,3,79,77,77,29,14/04/2018,18:30,32,0
Sevilla,2,80,80,79,39,Villarreal,2,79,79,80,41,14/04/2018,20:45,32,1
Atlético de Madrid,3,85,82,83,51,Levante,0,75,76,75,28,15/04/2018,12:00,32,2
Getafe,1,75,74,75,35,Espanyol,0,79,78,76,26,15/04/2018,16:15,32,2
Eibar,0,77,78,75,36,Alavés,1,77,75,74,28,15/04/2018,18:30,32,0
Málaga,1,75,75,75,19,Real Madrid,2,86,86,86,77,15/04/2018,20:45,32,0
Villarreal,2,79,79,80,43,Leganés,1,74,75,74,27,17/04/2018,19:30,33,2
Deportivo de La Coruña,0,79,77,77,32,Sevilla,0,80,80,79,41,17/04/2018,21:00,33,1
Celta de Vigo,2,78,78,78,50,Barcelona,2,93,84,84,81,17/04/2018,21:30,33,1
Espanyol,0,79,78,76,26,Eibar,1,77,78,75,36,18/04/2018,19:30,33,0
Valencia,1,80,80,80,60,Getafe,2,75,74,75,36,18/04/2018,19:30,33,0
Real Madrid,1,86,86,86,79,Athletic Club,1,81,79,78,35,18/04/2018,21:30,33,1
Real Sociedad,3,80,78,76,57,Atlético de Madrid,0,85,82,83,54,19/04/2018,19:30,33,2
Levante,1,75,76,75,28,Málaga,0,75,75,75,20,19/04/2018,19:30,33,2
Alavés,1,77,75,74,29,Girona,2,79,76,75,44,19/04/2018,21:30,33,0
Betis,1,79,79,76,53,Las Palmas,0,77,74,75,22,19/04/2018,21:30,33,2
Leganés,0,74,75,74,28,Deportivo de La Coruña,0,79,77,77,32,20/04/2018,21:00,34,1
Celta de Vigo,1,78,78,78,52,Valencia,1,80,80,80,61,21/04/2018,13:00,34,1
Eibar,0,77,78,75,37,Getafe,1,75,74,75,38,21/04/2018,16:15,34,0
Girona,0,79,76,75,46,Espanyol,2,79,78,76,26,22/04/2018,12:00,34,0
Málaga,2,75,75,75,20,Real Sociedad,0,80,78,76,60,22/04/2018,16:15,34,2
Las Palmas,0,77,74,75,22,Alavés,4,77,75,74,30,22/04/2018,18:30,34,0
Atlético de Madrid,0,85,82,83,54,Betis,0,79,79,76,54,22/04/2018,20:45,34,1
Athletic Club,1,81,79,78,36,Levante,3,75,76,75,29,23/04/2018,21:00,34,0
Sevilla,3,80,80,79,41,Real Madrid,2,86,86,86,80,09/05/2018,20:00,34,2
Barcelona,5,93,84,84,83,Villarreal,1,79,79,80,45,09/05/2018,21:30,34,2
Levante,2,75,76,75,32,Sevilla,1,80,80,79,44,27/04/2018,21:00,35,2
Villarreal,4,79,79,80,46,Celta de Vigo,1,78,78,78,53,28/04/2018,13:00,35,2
Real Madrid,2,86,86,86,82,Leganés,1,74,75,74,28,28/04/2018,16:15,35,2
Real Sociedad,3,80,78,76,60,Athletic Club,1,81,79,78,37,28/04/2018,18:30,35,2
Espanyol,1,79,78,76,28,Las Palmas,1,77,74,75,22,28/04/2018,20:45,35,1
Deportivo de La Coruña,2,79,77,77,32,Barcelona,4,93,84,84,88,29/04/2018,12:00,35,0
Valencia,0,80,80,80,62,Eibar,0,77,78,75,37,29/04/2018,16:15,35,1
Getafe,1,75,74,75,39,Girona,1,79,76,75,46,29/04/2018,18:30,35,1
Alavés,0,77,75,74,34,Atlético de Madrid,1,85,82,83,54,29/04/2018,20:45,35,0
Betis,2,79,79,76,54,Málaga,1,75,75,75,22,30/04/2018,21:00,35,2
Sevilla,1,80,80,79,45,Real Sociedad,0,80,78,76,63,04/05/2018,21:00,36,2
Villarreal,1,79,79,80,50,Valencia,0,80,80,80,62,05/05/2018,13:00,36,2
Celta de Vigo,1,78,78,78,54,Deportivo de La Coruña,1,79,77,77,34,05/05/2018,16:15,36,1
Athletic Club,2,81,79,78,38,Betis,0,79,79,76,56,05/05/2018,18:30,36,2
Girona,1,79,76,75,47,Eibar,4,77,78,75,37,05/05/2018,20:45,36,0
Las Palmas,0,77,74,75,23,Getafe,1,75,74,75,40,06/05/2018,12:00,36,0
Atlético de Madrid,0,85,82,83,55,Espanyol,2,79,78,76,29,06/05/2018,16:15,36,0
Málaga,0,75,75,75,23,Alavés,3,77,75,74,34,06/05/2018,18:30,36,0
Barcelona,2,93,84,84,92,Real Madrid,2,86,86,86,84,06/05/2018,20:45,36,1
Leganés,0,74,75,74,29,Levante,3,75,76,75,34,07/05/2018,21:00,36,0
Girona,0,79,76,75,48,Valencia,1,80,80,80,62,12/05/2018,16:15,37,0
Alavés,3,77,75,74,37,Athletic Club,1,81,79,78,40,12/05/2018,18:30,37,2
Deportivo de La Coruña,2,79,77,77,35,Villarreal,4,79,79,80,51,12/05/2018,18:30,37,0
Real Madrid,6,86,86,86,86,Celta de Vigo,0,78,78,78,55,12/05/2018,18:30,37,2
Getafe,0,75,74,75,41,Atlético de Madrid,1,85,82,83,55,12/05/2018,18:30,37,0
Betis,2,79,79,76,56,Sevilla,2,80,80,79,46,12/05/2018,18:30,37,1
Eibar,1,77,78,75,41,Las Palmas,0,77,74,75,23,12/05/2018,18:30,37,2
Real Sociedad,3,80,78,76,63,Leganés,2,74,75,74,29,12/05/2018,20:45,37,2
Espanyol,4,79,78,76,31,Málaga,1,75,75,75,23,13/05/2018,16:15,37,2
Levante,5,75,76,75,37,Barcelona,4,93,84,84,94,13/05/2018,20:45,37,2
Celta de Vigo,4,78,78,78,55,Levante,2,75,76,75,42,19/05/2018,13:00,38,2
Sevilla,1,80,80,79,48,Alavés,0,77,75,74,40,19/05/2018,16:15,38,2
Málaga,0,75,75,75,24,Getafe,1,75,74,75,41,19/05/2018,18:30,38,0
Las Palmas,1,77,74,75,23,Girona,2,79,76,75,48,19/05/2018,18:30,38,0
Leganés,3,74,75,74,31,Betis,2,79,79,76,58,19/05/2018,18:30,38,2
Villarreal,2,79,79,80,55,Real Madrid,2,86,86,86,92,19/05/2018,20:45,38,1
Athletic Club,0,81,79,78,41,Espanyol,1,79,78,76,35,20/05/2018,12:00,38,0
Barcelona,1,93,84,84,98,Real Sociedad,0,80,78,76,66,20/05/2018,16:15,38,2
Valencia,2,80,80,80,63,Deportivo de La Coruña,1,79,77,77,37,20/05/2018,18:30,38,2
Atlético de Madrid,2,85,82,83,56,Eibar,2,77,78,75,42,20/05/2018,20:45,38,1
