Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles.1,Ataque.1,Medio.1,Defensa.1,Goles_Acumulados.1,Día,Hora,Jornada,Resultado,cod_est,tmin,tmed,tmax,prec,presmin,presmax,velmedia,rachaviento
Osasuna,0,75,73,73,3,Celta de Vigo,0,79,79,78,1,2016-09-18,12:00,4,1,9263D,"10,5","14,7","18,9","0,0","968,7","970,7","4,4","10,8"
Athletic Club,2,80,81,79,2,Valencia,1,78,79,79,4,2016-09-18,16:15,4,2,1082,"13,8","17,7","21,6","1,0","1018,3","1020,4","2,5","10,3"
Villarreal,2,79,81,79,3,Real Sociedad,1,79,78,76,3,2016-09-18,18:30,4,2,8500A,"17,5","22,0","26,4","0,0","1011,1","1014,5","2,5","7,8"
Espanyol,0,78,77,76,7,Real Madrid,2,88,86,86,10,2016-09-18,20:45,4,0,0076,"15,7","19,8","23,8","0,0","1015,6","1017,8","3,3","12,5"
Alavés,0,73,76,75,3,Deportivo de La Coruña,0,77,77,76,2,2016-09-19,20:45,4,1,9091R,"5,1","13,0","21,0","0,1","960,9","964,9","3,1","8,3"
Málaga,2,77,77,76,3,Eibar,1,78,77,76,5,2016-09-20,20:00,5,2,6156X,"20,7","23,8","27,0","0,0","1008,4","1011,1","2,5","7,8"
Sevilla,1,80,81,80,9,Betis,0,79,76,74,7,2016-09-20,22:00,5,2,5783,"19,6","25,3","31,0","0,0","1010,2","1013,2","3,6","12,8"
Celta de Vigo,2,79,79,78,1,Sporting de Gijón,1,75,73,73,4,2016-09-21,20:00,5,2,1495,"12,3","15,0","17,8",Ip,"985,3","989,6","1,9","8,9"
Real Madrid,1,88,86,86,12,Villarreal,1,79,81,79,5,2016-09-21,20:00,5,1,3195,"13,9","20,9","27,9","0,0","938,2","941,4","1,4","9,2"
Real Sociedad,4,79,78,76,4,Las Palmas,1,77,79,76,11,2016-09-21,22:00,5,2,1014A,"15,3","19,0","22,7","0,0","1015,4","1018,9","2,2","6,7"
Granada,1,78,73,72,5,Athletic Club,2,80,81,79,4,2016-09-21,22:00,5,0,5530E,"9,8","20,6","31,5","0,0","949,5","952,8","2,5","8,9"
Barcelona,1,92,85,83,13,Atlético de Madrid,1,84,82,84,10,2016-09-21,22:00,5,1,0076,"17,3","21,8","26,2","0,0","1014,0","1017,6","5,3","9,2"
Deportivo de La Coruña,1,77,77,76,2,Leganés,2,74,76,75,3,2016-09-22,20:00,5,0,1387,"15,2","18,0","20,7","0,0","1011,8","1016,2","1,9","5,8"
Osasuna,1,75,73,73,3,Espanyol,2,78,77,76,7,2016-09-22,20:00,5,0,9263D,"9,8","18,4","26,9","0,0","965,2","970,3","2,8","10,3"
Valencia,2,78,79,79,5,Alavés,1,73,76,75,3,2016-09-22,22:00,5,2,8414A,"16,7","22,0","27,3","0,0","1009,4","1013,8","2,8","8,9"
Betis,1,79,76,74,7,Málaga,0,77,77,76,5,2016-09-23,20:45,6,2,5783,"14,5","22,4","30,2","0,0","1016,0","1019,6","1,7","5,8"
Eibar,2,78,77,76,6,Real Sociedad,0,79,78,76,8,2016-09-24,13:00,6,2,1050J,"12,5","20,2","27,8","0,0","1002,8","1008,9","1,9","8,6"
Sporting de Gijón,0,75,73,73,5,Barcelona,5,92,85,83,14,2016-09-24,16:15,6,0,1207U,"11,9","17,0","22,1","4,4","1011,6","1017,1","1,7","7,5"
Athletic Club,3,80,81,79,6,Sevilla,1,80,81,80,10,2016-09-24,18:30,6,2,1082,"13,3","21,6","29,8","0,0","1010,5","1017,1","2,5","13,3"
Las Palmas,2,77,79,76,12,Real Madrid,2,88,86,86,13,2016-09-24,20:45,6,1,C659M,"22,5","24,1","25,7","0,0","1012,0","1014,1","2,5","8,3"
Leganés,1,74,76,75,5,Valencia,2,78,79,79,7,2016-09-25,12:00,6,0,3195,"15,7","21,0","26,4","0,0","942,5","944,7","0,8","7,5"
Atlético de Madrid,1,84,82,84,11,Deportivo de La Coruña,0,77,77,76,3,2016-09-25,16:15,6,2,3195,"15,7","21,0","26,4","0,0","942,5","944,7","0,8","7,5"
