Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles.1,Ataque.1,Medio.1,Defensa.1,Goles_Acumulados.1,Día,Hora,Jornada,Resultado,cod_est,tmin,tmed,tmax,prec,presmin,presmax,velmedia,rachaviento
Atlético de Madrid,1,84,82,84,28,Las Palmas,0,77,79,76,26,2016-12-17,16:15,16,2,3195,"8,2","10,4","12,6","0,0","945,9","952,6","4,7","14,2"
Granada,0,78,73,72,14,Real Sociedad,2,79,78,76,26,2016-12-17,18:30,16,0,5530E,"2,1","8,2","14,2","1,4","951,8","957,3","1,7","14,4"
Sevilla,4,80,81,80,28,Málaga,1,77,77,76,24,2016-12-17,20:45,16,2,5783,"7,9","12,0","16,1","0,0","1015,4","1020,5","6,7","15,0"
Leganés,1,74,76,75,12,Eibar,1,78,77,76,21,2016-12-18,16:15,16,1,3195,"5,4","8,2","11,0","0,0","945,7","952,6","3,6","11,4"
Deportivo de La Coruña,2,77,77,76,20,Osasuna,0,75,73,73,13,2016-12-18,18:30,16,2,1387,"8,4","11,6","14,8","0,0","1017,4","1024,9","2,8","9,4"
Barcelona,4,92,85,83,37,Espanyol,1,78,77,76,19,2016-12-18,20:45,16,2,0076,"6,2","10,2","14,2","0,0","1023,5","1033,8","7,2","15,0"
Athletic Club,2,80,81,79,20,Celta de Vigo,1,79,79,78,24,2016-12-19,20:45,16,2,1082,"0,9","5,8","10,7","4,1","1014,4","1021,9","1,4","7,8"
Valencia,2,78,79,79,21,Real Madrid,1,88,86,86,40,2017-02-22,18:45,16,2,8414A,"4,1","11,6","19,0",Ip,"1012,8","1016,8","1,1","5,0"
Espanyol,1,78,77,76,20,Deportivo de La Coruña,1,77,77,76,22,2017-01-06,20:45,17,1,0076,"1,8","7,6","13,3","0,0","1026,2","1030,1","3,6","9,7"
Real Madrid,5,88,86,86,41,Granada,0,78,73,72,14,2017-01-07,13:00,17,2,3195,"-0,3","5,0","10,4","0,0","949,9","952,0","0,0","4,2"
Eibar,0,78,77,76,22,Atlético de Madrid,2,84,82,84,29,2017-01-07,16:15,17,0,1050J,"-4,5","1,3","7,1","0,0","1016,5","1018,9","0,0","3,1"
Las Palmas,1,77,79,76,26,Sporting de Gijón,0,75,73,73,17,2017-01-07,18:30,17,2,C659M,"18,8","20,4","22,1","0,0","1007,6","1011,1","2,8","11,9"
Real Sociedad,0,79,78,76,28,Sevilla,4,80,81,80,32,2017-01-07,20:45,17,0,1014A,"-2,1","3,0","8,1","0,0","1032,2","1034,6","1,7","4,2"
Athletic Club,0,80,81,79,22,Alavés,0,73,76,75,15,2017-01-08,12:00,17,1,1082,"-3,0","3,8","10,7","0,0","1028,5","1030,8","0,6","5,0"
Betis,2,79,76,74,18,Leganés,0,74,76,75,13,2017-01-08,16:15,17,2,5783,"4,9","10,4","15,8","0,0","1022,3","1025,6","2,5","7,8"
Celta de Vigo,3,79,79,78,25,Málaga,1,77,77,76,25,2017-01-08,18:30,17,2,1495,"1,6","7,6","13,7","0,0","998,4","1000,6","2,5","5,8"
Villarreal,1,79,81,79,25,Barcelona,1,92,85,83,41,2017-01-08,20:45,17,1,8500A,"4,4","10,2","16,0","0,0","1018,9","1024,5","2,2","6,7"
Osasuna,3,75,73,73,13,Valencia,3,78,79,79,23,2017-01-09,20:45,17,1,9263D,"3,2","6,7","10,2","0,3","968,8","976,1","5,0","11,7"
Leganés,0,74,76,75,13,Athletic Club,0,80,81,79,22,2017-01-14,13:00,18,1,3195,"-0,5","3,8","8,2","0,0","946,9","954,1","2,2","18,3"
Barcelona,5,92,85,83,42,Las Palmas,0,77,79,76,27,2017-01-14,16:15,18,2,0076,"4,5","8,4","12,4","0,0","1019,7","1022,7","4,2","10,8"
Atlético de Madrid,1,84,82,84,31,Betis,0,79,76,74,20,2017-01-14,18:30,18,2,3195,"-0,5","3,8","8,2","0,0","946,9","954,1","2,2","18,3"
Deportivo de La Coruña,0,77,77,76,23,Villarreal,0,79,81,79,26,2017-01-14,20:45,18,1,1387,"5,7","8,8","11,8","3,8","1023,7","1026,5","1,9","8,9"
Valencia,2,78,79,79,26,Espanyol,1,78,77,76,21,2017-01-15,12:00,18,2,8414A,"3,5","9,1","14,7","0,0","1014,9","1018,4","6,9","18,1"
Celta de Vigo,1,79,79,78,28,Alavés,0,73,76,75,15,2017-01-15,16:15,18,2,1495,"3,1","7,6","12,0","0,0","1001,8","1003,9","1,4","7,2"
Sporting de Gijón,2,75,73,73,17,Eibar,3,78,77,76,22,2017-01-15,18:30,18,0,1207U,"6,9","9,0","11,2","11,8","1028,8","1030,6","1,1","5,6"
Granada,1,78,73,72,14,Osasuna,1,75,73,73,16,2017-01-15,18:30,18,1,5530E,"-3,6","4,2","11,9","0,0","958,7","962,2","4,7","12,5"
Sevilla,2,80,81,80,36,Real Madrid,1,88,86,86,46,2017-01-15,20:45,18,2,5783,"3,0","9,2","15,5","0,0","1024,1","1027,8","3,9","7,8"
Málaga,0,77,77,76,26,Real Sociedad,2,79,78,76,28,2017-01-16,20:45,18,0,6156X,"7,3","13,2","19,2","0,0","1015,1","1021,6","2,2","9,4"
Las Palmas,1,77,79,76,27,Deportivo de La Coruña,1,77,77,76,23,2017-01-20,20:45,19,1,C659M,"16,6","18,1","19,6","0,0","1011,0","1014,3","2,5","7,8"
Espanyol,3,78,77,76,22,Granada,1,78,73,72,15,2017-01-21,13:00,19,2,0076,"8,9","10,7","12,5","0,7","1014,7","1019,3","10,3","23,3"
Real Madrid,2,88,86,86,47,Málaga,1,77,77,76,26,2017-01-21,16:15,19,2,3195,"3,5","7,2","11,0","0,0","939,5","941,3","2,2","11,7"
Alavés,2,73,76,75,15,Leganés,2,74,76,75,13,2017-01-21,18:30,19,1,9091R,"-5,5","2,6","10,7","0,0","959,5","962,3","0,6","3,6"
Villarreal,0,79,81,79,26,Valencia,2,78,79,79,28,2017-01-21,20:45,19,0,8500A,"8,6","10,2","11,9","0,0","1008,8","1012,4","6,1","17,2"
Osasuna,3,75,73,73,17,Sevilla,4,80,81,80,38,2017-01-22,12:00,19,0,9263D,"-1,9","2,6","7,1","0,0","964,3","967,5","6,7","11,7"
Athletic Club,2,80,81,79,22,Atlético de Madrid,2,84,82,84,32,2017-01-22,16:15,19,1,1082,"0,8","6,2","11,6","0,2","1016,9","1018,7","1,7","7,8"
Real Sociedad,1,79,78,76,30,Celta de Vigo,0,79,79,78,29,2017-01-22,18:30,19,2,1014A,"0,3","5,4","10,6","0,0","1019,8","1021,9","1,1","6,1"
Betis,0,79,76,74,20,Sporting de Gijón,0,75,73,73,19,2017-01-22,18:30,19,1,5783,"1,4","8,4","15,3","0,0","1013,3","1017,0","2,8","6,7"
Eibar,0,78,77,76,25,Barcelona,4,92,85,83,47,2017-01-22,20:45,19,0,1050J,"-1,0","4,4","9,9","0,0","1005,1","1007,6","0,0","4,7"
Osasuna,1,75,73,73,20,Málaga,1,77,77,76,27,2017-01-27,20:45,20,1,9263D,"4,9","7,2","9,4","4,0","954,7","961,2","6,1","16,1"
Villarreal,2,79,81,79,26,Granada,0,78,73,72,16,2017-01-28,13:00,20,2,8500A,"6,8","12,0","17,3","0,0","1004,7","1019,3","1,9","7,2"
Alavés,0,73,76,75,17,Atlético de Madrid,0,84,82,84,34,2017-01-28,16:15,20,1,9091R,"-1,8","4,8","11,5","0,0","955,0","963,7","2,8","9,7"
Eibar,3,78,77,76,25,Deportivo de La Coruña,1,77,77,76,24,2017-01-28,18:30,20,2,1050J,"3,2","7,8","12,5","0,0","1000,2","1008,7","1,1","5,8"
Leganés,0,74,76,75,15,Celta de Vigo,2,79,79,78,29,2017-01-28,20:45,20,0,3195,"2,6","6,4","10,2","0,0","937,5","946,6","1,1","10,8"
Betis,1,79,76,74,20,Barcelona,1,92,85,83,51,2017-01-29,12:00,20,1,5783,"5,7","11,6","17,6","0,0","1021,7","1024,5","0,8","4,7"
Espanyol,3,78,77,76,25,Sevilla,1,80,81,80,42,2017-01-29,16:15,20,2,0076,"5,7","10,1","14,5","0,0","1022,7","1025,4","3,9","9,7"
Athletic Club,2,80,81,79,24,Sporting de Gijón,1,75,73,73,19,2017-01-29,18:30,20,2,1082,"5,1","11,7","18,3","0,1","1013,0","1018,1","3,3","11,4"
Real Madrid,3,88,86,86,49,Real Sociedad,0,79,78,76,31,2017-01-29,20:45,20,2,3195,"4,9","7,0","9,1","1,5","946,0","948,0","0,3","6,4"
Las Palmas,3,77,79,76,28,Valencia,1,78,79,79,30,2017-01-30,20:45,20,2,C659M,"17,0","18,4","19,8","0,0","1012,8","1016,2","0,8","6,1"
Málaga,0,77,77,76,28,Espanyol,1,78,77,76,28,2017-02-04,13:00,21,0,6156X,"10,9","16,2","21,6","0,3","1015,8","1019,4","2,2","8,3"
Barcelona,3,92,85,83,52,Athletic Club,0,80,81,79,26,2017-02-04,16:15,21,2,0076,"9,3","14,2","19,2","0,0","1007,3","1012,9","7,2","16,4"
Atlético de Madrid,2,84,82,84,34,Leganés,0,74,76,75,15,2017-02-04,18:30,21,2,3195,"9,0","11,6","14,2","3,7","936,0","939,6","5,0","16,9"
Valencia,0,78,79,79,31,Eibar,4,78,77,76,28,2017-02-04,20:45,21,0,8414A,"14,5","17,0","19,6","0,0","1005,7","1009,2","7,2","18,1"
Sevilla,0,80,81,80,43,Villarreal,0,79,81,79,28,2017-02-05,12:00,21,1,5783,"9,3","13,8","18,2","0,0","1016,7","1028,1","5,0","13,9"
Sporting de Gijón,2,75,73,73,20,Alavés,4,73,76,75,17,2017-02-05,16:15,21,0,1207U,"5,5","9,6","13,7","6,8","999,5","1022,8","5,6","22,8"
Real Sociedad,3,79,78,76,31,Osasuna,2,75,73,73,21,2017-02-05,18:30,21,2,1014A,"7,8","11,6","15,4","14,7","1001,8","1023,6","8,6","23,3"
Granada,1,78,73,72,16,Las Palmas,0,77,79,76,31,2017-02-06,20:45,21,2,5530E,"2,6","10,0","17,3","0,0","961,1","964,5","1,4","9,2"
Deportivo de La Coruña,1,77,77,76,25,Betis,1,79,76,74,21,2017-03-08,18:45,21,1,1387,"10,2","13,0","15,9","0,0","1018,7","1021,7","1,9","6,7"
Celta de Vigo,1,79,79,78,31,Real Madrid,4,88,86,86,52,2017-05-17,21:00,21,0,1495,"10,5","14,4","18,3","0,0","989,9","991,6","3,3","11,4"
Espanyol,1,78,77,76,29,Real Sociedad,2,79,78,76,34,2017-02-10,20:45,22,0,0076,"5,8","10,0","14,3","0,0","1015,6","1017,5","2,8","7,2"
Betis,0,79,76,74,22,Valencia,0,78,79,79,31,2017-02-11,13:00,22,1,5783,"8,5","11,4","14,4","5,9","996,3","1006,6","4,2","9,7"
Alavés,0,73,76,75,21,Barcelona,6,92,85,83,55,2017-02-11,16:15,22,0,9091R,"3,4","6,0","8,5","3,6","949,5","956,0","2,8","8,9"
Athletic Club,2,80,81,79,26,Deportivo de La Coruña,1,77,77,76,26,2017-02-11,18:30,22,2,1082,"2,0","6,8","11,7","3,4","1005,9","1012,5","1,9","8,9"
Osasuna,1,75,73,73,23,Real Madrid,3,88,86,86,56,2017-02-11,20:45,22,0,9263D,"-0,5","3,9","8,3","2,8","956,6","963,8","0,3","4,7"
Villarreal,1,79,81,79,28,Málaga,1,77,77,76,28,2017-02-12,12:00,22,1,8500A,"12,5","14,4","16,3",Ip,"1002,3","1004,6","3,3","9,7"
Leganés,0,74,76,75,15,Sporting de Gijón,2,75,73,73,22,2017-02-12,16:15,22,0,3195,"6,2","9,1","12,0","16,5","924,0","928,5","3,6","14,2"
Las Palmas,0,77,79,76,31,Sevilla,1,80,81,80,43,2017-02-12,18:30,22,0,C659M,"16,3","20,4","24,4","1,2","989,7","1002,6","2,8","13,6"
Atlético de Madrid,3,84,82,84,36,Celta de Vigo,2,79,79,78,32,2017-02-12,20:45,22,2,3195,"6,2","9,1","12,0","16,5","924,0","928,5","3,6","14,2"
Eibar,4,78,77,76,32,Granada,0,78,73,72,17,2017-02-13,20:45,22,2,1050J,"6,5","11,0","15,6","2,9","986,5","1000,4","5,3","27,5"
Granada,4,78,73,72,17,Betis,1,79,76,74,22,2017-02-17,20:45,23,2,5530E,"4,1","11,0","17,8","0,0","956,9","961,3","1,1","5,8"
Sporting de Gijón,1,75,73,73,24,Atlético de Madrid,4,84,82,84,39,2017-02-18,13:00,23,0,1207U,"6,8","9,4","12,1","2,8","1017,9","1021,5","0,6","3,3"
Real Madrid,2,88,86,86,59,Espanyol,0,78,77,76,30,2017-02-18,16:15,23,2,3195,"4,0","8,8","13,6","0,0","940,3","947,2","0,3","3,3"
Deportivo de La Coruña,0,77,77,76,27,Alavés,1,73,76,75,21,2017-02-18,18:30,23,0,1387,"9,1","11,0","12,9","4,2","1013,9","1017,3","3,1","7,8"
Sevilla,2,80,81,80,44,Eibar,0,78,77,76,36,2017-02-18,20:45,23,2,5783,"6,8","12,8","18,8","5,5","1014,3","1021,8","1,9","7,8"
Real Sociedad,0,79,78,76,36,Villarreal,1,79,81,79,29,2017-02-19,12:00,23,0,1014A,"8,1","11,4","14,8","0,0","1023,2","1029,3","1,4","6,1"
Valencia,2,78,79,79,31,Athletic Club,0,80,81,79,28,2017-02-19,16:15,23,2,8414A,"6,3","10,8","15,4","0,0","1014,4","1020,0","3,6","8,9"
Celta de Vigo,3,79,79,78,34,Osasuna,0,75,73,73,24,2017-02-19,18:30,23,2,1495,"5,1","11,4","17,8","0,0","992,0","996,6","1,9","10,8"
Barcelona,2,92,85,83,61,Leganés,1,74,76,75,15,2017-02-19,20:45,23,2,0076,"9,2","13,0","16,7","0,0","1022,8","1026,5","3,9","7,2"
Málaga,2,77,77,76,29,Las Palmas,1,77,79,76,31,2017-02-20,20:45,23,2,6156X,"11,7","14,6","17,6","0,0","1012,4","1016,3","3,1","10,3"
Las Palmas,0,77,79,76,32,Real Sociedad,1,79,78,76,36,2017-02-24,20:45,24,0,C659M,"17,1","18,6","20,2",-,"1011,1","1014,6","1,4","6,9"
Alavés,2,73,76,75,22,Valencia,1,78,79,79,33,2017-02-25,13:00,24,2,9091R,"-4,0","8,0","20,0","0,0","958,1","963,0","0,8","4,2"
Betis,1,79,76,74,23,Sevilla,2,80,81,80,46,2017-02-25,16:15,24,0,5783,"12,0","14,7","17,4","0,0","1015,0","1019,3","1,9","4,7"
Leganés,4,74,76,75,16,Deportivo de La Coruña,0,77,77,76,27,2017-02-25,18:30,24,2,3195,"3,4","10,2","17,0","0,0","940,7","942,8","1,1","5,6"
Eibar,3,78,77,76,36,Málaga,0,77,77,76,31,2017-02-25,20:45,24,2,1050J,"2,9","9,6","16,4","0,1","1004,2","1009,1","0,0","3,9"
Espanyol,3,78,77,76,30,Osasuna,0,75,73,73,24,2017-02-26,12:00,24,2,0076,"5,8","10,5","15,2","0,0","1017,7","1022,4","6,1","10,3"
Atlético de Madrid,1,84,82,84,43,Barcelona,2,92,85,83,63,2017-02-26,16:15,24,0,3195,"6,4","10,3","14,2","0,0","941,4","944,8","1,1","7,2"
Athletic Club,3,80,81,79,28,Granada,1,78,73,72,21,2017-02-26,18:30,24,2,1082,"4,9","11,5","18,1","0,0","1011,4","1017,9","1,4","7,8"
Sporting de Gijón,1,75,73,73,25,Celta de Vigo,1,79,79,78,37,2017-02-26,18:30,24,1,1207U,"8,2","12,8","17,3","0,0","1011,5","1018,1","1,9","6,9"
Villarreal,2,79,81,79,30,Real Madrid,3,88,86,86,61,2017-02-26,20:45,24,0,8500A,"7,8","12,8","17,7","0,0","1012,6","1017,4","2,5","5,8"
Real Sociedad,2,79,78,76,37,Eibar,2,78,77,76,39,2017-02-28,19:30,25,1,1014A,"6,8","10,2","13,6","9,3","1005,5","1017,6","5,6","19,7"
Málaga,1,77,77,76,31,Betis,2,79,76,74,24,2017-02-28,21:30,25,0,6156X,"11,9","15,5","19,1","0,0","1012,2","1014,6","4,2","12,5"
Valencia,1,78,79,79,34,Leganés,0,74,76,75,20,2017-02-28,21:30,25,2,8414A,"11,5","14,6","17,6","0,0","1003,6","1010,3","9,7","18,6"
Osasuna,1,75,73,73,24,Villarreal,4,79,81,79,32,2017-03-01,19:30,25,0,9263D,"-0,2","7,8","15,9","0,0","964,0","966,8","2,8","8,3"
Barcelona,6,92,85,83,65,Sporting de Gijón,1,75,73,73,26,2017-03-01,19:30,25,2,0076,"7,5","11,9","16,3","0,0","1015,1","1020,1","6,1","11,4"
Celta de Vigo,2,79,79,78,38,Espanyol,2,78,77,76,33,2017-03-01,21:30,25,1,1495,"8,9","10,6","12,3","1,2","987,8","990,2","4,2","10,8"
Real Madrid,3,88,86,86,64,Las Palmas,3,77,79,76,32,2017-03-01,21:30,25,1,3195,"5,2","10,6","16,0","0,0","940,5","944,2","1,1","6,9"
Granada,2,78,73,72,22,Alavés,1,73,76,75,24,2017-03-01,21:30,25,2,5530E,"1,0","11,0","20,9","0,0","951,8","954,9","1,7","5,8"
Deportivo de La Coruña,1,77,77,76,27,Atlético de Madrid,1,84,82,84,44,2017-03-02,20:45,25,1,1387,"11,8","13,8","15,7","10,0","999,8","1010,3","4,2","15,3"
Sevilla,1,80,81,80,48,Athletic Club,0,80,81,79,31,2017-03-02,21:30,25,2,5783,"8,1","14,9","21,7","0,0","1011,9","1017,3","1,7","6,7"
Betis,2,79,76,74,26,Real Sociedad,3,79,78,76,39,2017-03-03,20:45,26,0,5783,"9,3","11,8","14,2","10,1","1004,9","1011,9","9,4","19,7"
Leganés,1,74,76,75,20,Granada,0,78,73,72,24,2017-03-04,13:00,26,2,3195,"1,0","5,3","9,6","0,0","928,5","937,0","1,4","12,5"
Eibar,1,78,77,76,41,Real Madrid,4,88,86,86,67,2017-03-04,16:15,26,0,1050J,"3,7","7,6","11,4","2,0","985,5","995,6","0,8","14,4"
Villarreal,2,79,81,79,36,Espanyol,0,78,77,76,35,2017-03-04,18:30,26,2,8500A,"8,1","12,2","16,2","0,0","994,1","1008,2","3,3","12,5"
Barcelona,5,92,85,83,71,Celta de Vigo,0,79,79,78,40,2017-03-04,20:45,26,2,0076,"6,6","11,3","16,0",Ip,"987,7","1011,4","8,3","22,2"
Sporting de Gijón,0,75,73,73,27,Deportivo de La Coruña,1,77,77,76,28,2017-03-05,12:00,26,0,1207U,"8,7","12,8","16,8","4,0","1003,1","1013,7","1,9","10,0"
Atlético de Madrid,3,84,82,84,45,Valencia,0,78,79,79,35,2017-03-05,16:15,26,2,3195,"4,8","8,6","12,4","0,0","937,0","944,3","1,1","8,3"
Las Palmas,5,77,79,76,35,Osasuna,2,75,73,73,25,2017-03-05,18:30,26,2,C659M,"17,4","19,2","21,0","0,0","1012,9","1016,4","1,7","6,7"
Athletic Club,1,80,81,79,31,Málaga,0,77,77,76,32,2017-03-05,20:45,26,2,1082,"7,0","11,7","16,4","3,3","1003,5","1014,3","3,9","13,3"
Alavés,1,73,76,75,25,Sevilla,1,80,81,80,49,2017-03-06,20:45,26,1,9091R,"6,5","12,1","17,7","0,1","957,1","967,3","5,0","12,8"
Espanyol,4,78,77,76,35,Las Palmas,3,77,79,76,40,2017-03-10,20:45,27,2,0076,"10,9","15,9","20,9","0,0","1018,0","1021,5","5,3","10,8"
Valencia,1,78,79,79,35,Sporting de Gijón,1,75,73,73,27,2017-03-11,13:00,27,1,8414A,"7,3","14,6","22,0","0,0","1007,5","1012,3","1,9","8,3"
Sevilla,1,80,81,80,50,Leganés,1,74,76,75,21,2017-03-11,16:15,27,1,5783,"10,5","18,7","26,9","0,0","1013,7","1017,2","2,8","7,8"
Málaga,1,77,77,76,32,Alavés,2,73,76,75,26,2017-03-11,18:30,27,0,6156X,"16,1","22,6","29,1","0,0","1009,8","1014,5","2,5","7,2"
Granada,0,78,73,72,24,Atlético de Madrid,1,84,82,84,48,2017-03-11,20:45,27,0,5530E,"4,0","16,0","28,1","0,0","951,0","956,1","1,7","8,9"
Real Sociedad,0,79,78,76,42,Athletic Club,2,80,81,79,32,2017-03-12,12:00,27,0,1014A,"10,6","12,9","15,2","48,5","1018,2","1022,5","4,4","15,3"
Deportivo de La Coruña,2,77,77,76,29,Barcelona,1,92,85,83,76,2017-03-12,16:15,27,2,1387,"9,4","11,4","13,4","5,4","1015,1","1024,1","6,7","17,5"
Celta de Vigo,0,79,79,78,40,Villarreal,1,79,81,79,38,2017-03-12,18:30,27,0,1495,"7,8","10,6","13,5","1,3","993,8","1000,4","4,7","15,0"
Real Madrid,2,88,86,86,71,Betis,1,79,76,74,28,2017-03-12,20:45,27,2,3195,"7,2","13,1","19,0","0,0","939,5","942,9","3,1","17,8"
Osasuna,1,75,73,73,27,Eibar,1,78,77,76,42,2017-03-13,20:45,27,1,9263D,"6,3","9,2","12,1","0,0","967,4","977,3","6,4","15,0"
Las Palmas,1,77,79,76,43,Villarreal,0,79,81,79,39,2017-03-17,20:45,28,2,C659M,"16,0","18,0","20,0","0,0","1005,6","1011,6","3,3","8,9"
Eibar,1,78,77,76,43,Espanyol,1,78,77,76,39,2017-03-18,13:00,28,1,1050J,"5,5","9,2","12,8","0,0","1009,2","1012,4","1,7","6,7"
Athletic Club,1,80,81,79,34,Real Madrid,2,88,86,86,73,2017-03-18,16:15,28,0,1082,"6,6","11,2","15,9","0,0","1019,5","1022,1","2,8","8,3"
Alavés,1,73,76,75,28,Real Sociedad,0,79,78,76,42,2017-03-18,18:30,28,2,9091R,"3,2","10,2","17,2","0,0","962,7","965,7","2,5","9,2"
Betis,2,79,76,74,29,Osasuna,0,75,73,73,28,2017-03-18,20:45,28,2,5783,"9,0","16,7","24,4","0,0","1013,6","1016,7","2,8","9,2"
Leganés,0,74,76,75,22,Málaga,0,77,77,76,33,2017-03-19,12:00,28,1,3195,"7,6","15,6","23,5","0,0","937,0","943,5","1,1","5,0"
Atlético de Madrid,3,84,82,84,49,Sevilla,1,80,81,80,51,2017-03-19,16:15,28,2,3195,"7,6","15,6","23,5","0,0","937,0","943,5","1,1","5,0"
Sporting de Gijón,3,75,73,73,28,Granada,1,78,73,72,24,2017-03-19,18:30,28,2,1207U,"10,0","11,6","13,2","0,0","1016,3","1020,5","1,4","4,4"
Deportivo de La Coruña,0,77,77,76,31,Celta de Vigo,1,79,79,78,40,2017-03-19,18:30,28,0,1387,"8,7","11,2","13,8","0,0","1012,2","1016,2","3,6","9,7"
Barcelona,4,92,85,83,77,Valencia,2,78,79,79,36,2017-03-19,20:45,28,2,0076,"9,5","13,6","17,8","0,0","1014,6","1019,6","4,2","9,2"
Espanyol,2,78,77,76,40,Betis,1,79,76,74,31,2017-03-31,20:45,29,2,0076,"10,6","14,3","18,0","0,9","1015,3","1024,1","3,3","9,2"
Villarreal,2,79,81,79,39,Eibar,3,78,77,76,44,2017-04-01,13:00,29,0,8500A,"10,3","16,0","21,6","0,0","1010,7","1014,9","2,5","12,8"
Osasuna,1,75,73,73,28,Athletic Club,2,80,81,79,35,2017-04-01,16:15,29,0,9263D,"6,0","9,8","13,6","7,9","964,9","968,8","3,1","12,8"
Real Sociedad,1,79,78,76,42,Leganés,1,74,76,75,22,2017-04-01,18:30,29,1,1014A,"10,4","12,0","13,7","29,6","1017,6","1022,0","4,4","16,9"
Málaga,0,77,77,76,33,Atlético de Madrid,2,84,82,84,52,2017-04-01,20:45,29,0,6156X,"13,6","18,6","23,7","0,0","1013,9","1017,3","4,2","10,8"
Sevilla,0,80,81,80,52,Sporting de Gijón,0,75,73,73,31,2017-04-02,12:00,29,1,5783,"8,8","16,6","24,3","0,0","1013,4","1018,4","1,9","7,8"
Real Madrid,3,88,86,86,75,Alavés,0,73,76,75,29,2017-04-02,16:15,29,2,3195,"6,7","12,8","19,0","0,0","941,5","944,3","2,2","9,7"
Valencia,3,78,79,79,38,Deportivo de La Coruña,0,77,77,76,31,2017-04-02,18:30,29,2,8414A,"7,8","15,2","22,5","0,0","1009,6","1013,8","4,4","15,0"
Granada,1,78,73,72,25,Barcelona,4,92,85,83,81,2017-04-02,20:45,29,0,5530E,"1,9","13,2","24,4","0,0","950,6","955,7","1,7","7,8"
Celta de Vigo,3,79,79,78,41,Las Palmas,1,77,79,76,44,2017-04-03,20:45,29,2,1495,"7,5","13,7","19,9","0,0","991,6","995,9","1,7","10,8"
Athletic Club,2,80,81,79,37,Espanyol,0,78,77,76,42,2017-04-04,19:30,30,2,1082,"10,1","13,4","16,7","7,8","1022,8","1025,0","2,5","9,2"
Betis,0,79,76,74,32,Villarreal,1,79,81,79,41,2017-04-04,21:30,30,0,5783,"8,4","17,0","25,7","0,0","1014,3","1018,5","2,8","8,3"
Atlético de Madrid,1,84,82,84,54,Real Sociedad,0,79,78,76,43,2017-04-04,21:30,30,2,3195,"7,0","14,5","22,0","0,0","942,8","946,2","1,4","11,1"
Barcelona,3,92,85,83,85,Sevilla,0,80,81,80,52,2017-04-05,19:30,30,2,0076,"11,2","15,2","19,2","3,3","1017,7","1021,0","3,1","10,8"
Alavés,0,73,76,75,29,Osasuna,1,75,73,73,29,2017-04-05,20:30,30,0,9091R,"6,6","9,6","12,5",Ip,"964,7","967,0","3,9","9,7"
Deportivo de La Coruña,0,77,77,76,31,Granada,0,78,73,72,26,2017-04-05,20:30,30,1,1387,"10,8","14,3","17,8","0,0","1016,0","1020,5","7,2","13,9"
Sporting de Gijón,0,75,73,73,31,Málaga,1,77,77,76,33,2017-04-05,20:30,30,0,1207U,"9,8","13,2","16,7","0,0","1023,9","1025,9","2,8","10,0"
Leganés,2,74,76,75,23,Real Madrid,4,88,86,86,78,2017-04-05,21:30,30,0,3195,"8,2","13,6","19,0","0,0","942,0","944,2","3,1","11,7"
Eibar,3,78,77,76,47,Las Palmas,1,77,79,76,45,2017-04-06,19:30,30,2,1050J,,,,,,,,
Valencia,3,78,79,79,41,Celta de Vigo,2,79,79,78,44,2017-04-06,21:30,30,2,8414A,"7,6","14,8","21,9","0,0","1008,5","1013,5","3,3","10,3"
Villarreal,3,79,81,79,42,Athletic Club,1,80,81,79,39,2017-04-07,20:45,31,2,8500A,"10,1","15,8","21,4","0,0","1014,0","1016,8","2,8","6,9"
Espanyol,1,78,77,76,42,Alavés,0,73,76,75,29,2017-04-08,13:00,31,2,0076,"10,6","14,8","19,1","0,0","1019,8","1023,0","5,0","9,7"
Real Madrid,1,88,86,86,82,Atlético de Madrid,1,84,82,84,55,2017-04-08,16:15,31,1,3195,"10,0","16,6","23,2","0,0","941,2","944,6","0,8","4,4"
Sevilla,4,80,81,80,52,Deportivo de La Coruña,2,77,77,76,31,2017-04-08,18:30,31,2,5783,"10,9","18,2","25,4","0,0","1013,0","1021,2","6,1","13,3"
Málaga,2,77,77,76,34,Barcelona,0,92,85,83,88,2017-04-08,20:45,31,2,6156X,"10,1","14,9","19,7","0,0","1014,7","1017,1","3,6","9,4"
Granada,1,78,73,72,26,Valencia,3,78,79,79,44,2017-04-09,12:00,31,0,5530E,"3,5","14,5","25,5","0,0","952,8","956,8","3,3","10,3"
Celta de Vigo,0,79,79,78,46,Eibar,2,78,77,76,50,2017-04-09,16:15,31,0,1495,"11,8","18,4","24,9","0,0","987,0","990,2","2,5","7,2"
Osasuna,2,75,73,73,30,Leganés,1,74,76,75,25,2017-04-09,18:30,31,2,9263D,"4,1","14,4","24,6","0,0","968,4","971,8","0,8","7,2"
Las Palmas,4,77,79,76,46,Betis,1,79,76,74,32,2017-04-09,20:45,31,2,C659M,"17,6","19,6","21,7","0,0","1005,6","1008,5","2,8","7,5"
Real Sociedad,3,79,78,76,43,Sporting de Gijón,1,75,73,73,31,2017-04-10,20:45,31,2,1014A,"12,7","15,4","18,2","0,0","1023,5","1026,6","1,9","7,2"
Athletic Club,5,80,81,79,40,Las Palmas,1,77,79,76,50,2017-04-14,20:45,32,2,1082,"10,6","13,1","15,6","0,0","1014,8","1018,5","1,1","5,0"
