Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles.1,Ataque.1,Medio.1,Defensa.1,Goles_Acumulados.1,Día,Hora,Jornada,Resultado,cod_est,tmin,tmed,tmax,prec,presmin,presmax,velmedia,rachaviento
Valencia,1,80,80,80,0,Las Palmas,0,77,74,75,0,2017-08-18,20:15,1,2,8414A,21.9,27.2,32.5,0.0,1005.9,1011.3,3.9,9.7
Leganés,1,74,75,74,0,Alavés,0,77,75,74,0,2017-08-18,22:15,1,2,3195,23.6,30.1,36.6,0.0,938.1,942.4,1.9,8.1
Celta de Vigo,2,78,78,78,0,Real Sociedad,3,80,78,76,0,2017-08-19,18:15,1,0,1495,14.1,23.0,31.8,0.0,989.3,991.3,3.6,11.7
Girona,2,79,76,75,0,Atlético de Madrid,2,85,82,83,0,2017-08-19,20:15,1,1,0367,20.0,25.0,30.1,0.0,1001.2,1004.8,2.5,8.3
Sevilla,1,80,80,79,0,Espanyol,1,79,78,76,0,2017-08-19,22:15,1,1,5783,22.4,31.4,40.4,0.0,1008.4,1011.4,3.3,10.3
Athletic Club,0,81,79,78,0,Getafe,0,75,74,75,0,2017-08-20,18:15,1,1,1082,12.7,19.4,26.1,0.0,1018.4,1022.0,2.8,8.9
Barcelona,2,93,84,84,0,Betis,0,79,79,76,0,2017-08-20,20:15,1,2,0076,23.7,26.0,28.2,0.5,1018.9,1021.4,3.6,8.3
Deportivo de La Coruña,0,79,77,77,0,Real Madrid,3,86,86,86,0,2017-08-20,22:15,1,0,1387,16.6,20.5,24.4,0.0,1009.7,1016.0,2.2,7.5
Levante,1,75,76,75,0,Villarreal,0,79,79,80,0,2017-08-21,20:15,1,2,8414A,21.8,26.2,30.5,0.0,1010.3,1013.6,3.6,9.7
Málaga,0,75,75,75,0,Eibar,1,77,78,75,0,2017-08-21,22:00,1,0,6156X,24.3,27.6,30.9,0.0,1010.3,1012.9,2.5,7.2
Real Sociedad,3,80,78,76,3,Villarreal,0,79,79,80,0,2017-08-25,20:15,2,2,1014A,20.4,22.6,24.8,0.0,1014.3,1016.8,1.9,5.8
Betis,2,79,79,76,0,Celta de Vigo,1,78,78,78,2,2017-08-25,22:00,2,2,5783,21.7,29.4,37.0,0.0,1008.5,1012.0,2.2,8.3
Alavés,0,77,75,74,0,Barcelona,2,93,84,84,2,2017-08-26,18:15,2,0,9091R,18.0,26.2,34.4,0.0,955.1,957.6,2.8,11.7
Levante,2,75,76,75,1,Deportivo de La Coruña,2,79,77,77,0,2017-08-26,20:15,2,1,8414A,22.2,26.6,31.1,0.0,1007.4,1011.2,2.8,10.8
Las Palmas,1,77,74,75,0,Atlético de Madrid,5,85,82,83,2,2017-08-26,20:15,2,0,C659M,23.4,25.0,26.7,0.0,1004.8,1007.2,4.2,9.4
Girona,1,79,76,75,2,Málaga,0,75,75,75,0,2017-08-26,22:15,2,2,0367,19.2,25.8,32.5,0.05,999.9,1002.0,3.3,9.7
Espanyol,0,79,78,76,1,Leganés,1,74,75,74,1,2017-08-27,18:15,2,0,0076,24.0,26.6,29.3,0.0,1013.3,1016.5,4.2,8.9
Real Madrid,2,86,86,86,3,Valencia,2,80,80,80,1,2017-08-27,18:15,2,1,3195,20.8,24.4,28.0,0.3,938.2,941.5,1.9,11.1
Getafe,0,75,74,75,0,Sevilla,1,80,80,79,1,2017-08-27,20:15,2,0,3195,20.8,24.4,28.0,0.3,938.2,941.5,1.9,11.1
Eibar,0,77,78,75,1,Athletic Club,1,81,79,78,0,2017-08-27,22:15,2,0,1037Y,17.3,19.9,22.5,6.0,964.5,969.3,1.7,7.2
Leganés,1,74,75,74,2,Getafe,2,75,74,75,0,2017-09-08,21:00,3,0,3195,17.0,23.8,30.6,0.0,934.4,940.8,1.1,8.1
Valencia,0,80,80,80,3,Atlético de Madrid,0,85,82,83,7,2017-09-09,13:00,3,1,8414A,15.0,20.7,26.4,6.4,996.5,1001.4,3.9,12.5
Real Madrid,1,86,86,86,5,Levante,1,75,76,75,3,2017-09-09,16:15,3,1,3195,16.1,19.8,23.5,0.0,932.3,934.6,3.3,13.1
Sevilla,3,80,80,79,2,Eibar,0,77,78,75,1,2017-09-09,18:30,3,2,5783,15.0,23.4,31.8,0.0,1005.2,1009.7,5.0,13.3
Barcelona,5,93,84,84,4,Espanyol,0,79,78,76,1,2017-09-09,20:45,3,2,0076,16.9,22.0,27.0,3.1,1002.9,1008.8,4.7,15.0
Villarreal,3,79,79,80,0,Betis,1,79,79,76,2,2017-09-10,12:00,3,2,8500A,16.3,22.4,28.5,0.0,1002.5,1007.1,2.8,10.3
Deportivo de La Coruña,2,79,77,77,2,Real Sociedad,4,80,78,76,6,2017-09-10,16:15,3,0,1387,15.3,17.8,20.2,2.3,1008.8,1011.4,3.3,10.0
Celta de Vigo,1,78,78,78,3,Alavés,0,77,75,74,0,2017-09-10,18:30,3,2,1484C,10.8,15.6,20.4,2.3,987.5,990.1,0.6,5.0
Athletic Club,2,81,79,78,1,Girona,0,79,76,75,3,2017-09-10,20:45,3,2,1082,13.7,17.6,21.5,8.6,1008.5,1012.2,3.1,13.3
Málaga,1,75,75,75,0,Las Palmas,3,77,74,75,1,2017-09-11,21:00,3,0,6156X,17.8,24.3,30.8,0.0,1006.3,1009.2,2.2,5.8
Eibar,1,77,78,75,1,Leganés,0,74,75,74,3,2017-09-15,21:00,4,2,1037Y,9.7,13.7,17.7,11.0,966.5,970.2,0.0,8.1
Getafe,1,75,74,75,2,Barcelona,2,93,84,84,9,2017-09-16,13:00,4,0,3195,10.7,16.0,21.2,0.0,937.5,940.4,1.7,7.8
Betis,2,79,79,76,3,Deportivo de La Coruña,1,79,77,77,4,2017-09-16,16:15,4,2,5783,13.5,20.7,27.9,0.0,1008.5,1013.2,4.2,10.3
Atlético de Madrid,1,85,82,83,7,Málaga,0,75,75,75,1,2017-09-16,18:30,4,2,3195,10.7,16.0,21.2,0.0,937.5,940.4,1.7,7.8
Levante,1,75,76,75,4,Valencia,1,80,80,80,3,2017-09-16,20:45,4,1,8414A,13.0,18.2,23.3,0.05,1005.8,1010.5,3.6,8.9
Las Palmas,1,77,74,75,4,Athletic Club,0,81,79,78,3,2017-09-17,12:00,4,2,C659M,22.0,23.5,25.0,0.0,1008.8,1013.3,1.9,5.8
Girona,0,79,76,75,3,Sevilla,1,80,80,79,5,2017-09-17,16:15,4,0,0367,8.0,17.0,26.0,0.0,999.4,1003.2,4.2,11.4
Real Sociedad,1,80,78,76,10,Real Madrid,3,86,86,86,6,2017-09-17,18:30,4,0,1014A,13.3,16.7,20.1,13.8,1015.7,1018.8,3.6,10.3
Alavés,0,77,75,74,0,Villarreal,3,79,79,80,3,2017-09-17,20:45,4,0,9091R,2.3,11.2,20.1,5.2,958.2,960.4,2.2,9.2
Espanyol,2,79,78,76,1,Celta de Vigo,1,78,78,78,4,2017-09-18,21:00,4,2,0076,18.3,20.2,22.0,4.9,1015.3,1019.4,6.4,12.5
Barcelona,6,93,84,84,11,Eibar,1,77,78,75,2,2017-09-19,20:00,5,2,0076,16.2,19.8,23.5,0.0,1018.1,1020.9,3.6,8.3
Valencia,5,80,80,80,4,Málaga,0,75,75,75,1,2017-09-19,22:00,5,2,8414A,14.8,21.4,28.0,0.0,1011.2,1014.2,3.9,10.8
Athletic Club,1,81,79,78,3,Atlético de Madrid,2,85,82,83,8,2017-09-20,20:00,5,0,1082,8.6,17.0,25.5,0.0,1012.5,1020.2,2.5,6.1
Sevilla,1,80,80,79,6,Las Palmas,0,77,74,75,5,2017-09-20,20:00,5,2,5783,15.5,24.2,32.9,0.0,1011.4,1015.9,1.1,7.8
Deportivo de La Coruña,1,79,77,77,5,Alavés,0,77,75,74,0,2017-09-20,21:00,5,2,1387,12.9,17.2,21.5,2.4,1009.9,1015.6,1.1,5.8
Real Madrid,0,86,86,86,9,Betis,1,79,79,76,5,2017-09-20,22:00,5,0,3195,13.1,20.2,27.2,0.0,940.3,944.9,0.8,6.7
Leganés,0,74,75,74,3,Girona,0,79,76,75,3,2017-09-20,22:00,5,1,3195,13.1,20.2,27.2,0.0,940.3,944.9,0.8,6.7
Celta de Vigo,1,78,78,78,5,Getafe,1,75,74,75,3,2017-09-21,20:00,5,1,1495,13.4,16.4,19.4,4.3,987.2,990.6,3.9,10.8
Levante,3,75,76,75,5,Real Sociedad,0,80,78,76,11,2017-09-21,21:00,5,2,8414A,15.4,21.2,27.1,0.0,1008.5,1011.4,3.1,9.7
Villarreal,0,79,79,80,6,Espanyol,0,79,78,76,3,2017-09-21,22:00,5,1,8500A,17.6,22.6,27.7,0.0,1011.0,1013.5,2.5,6.7
Alavés,1,77,75,74,0,Real Madrid,2,86,86,86,9,2017-09-23,13:00,6,0,9091R,7.7,17.8,27.8,0.05,958.6,962.2,2.2,8.3
Málaga,3,75,75,75,1,Athletic Club,3,81,79,78,4,2017-09-23,16:15,6,1,6156X,21.3,25.2,29.1,0.0,1011.9,1015.5,3.1,8.3
Atlético de Madrid,2,85,82,83,10,Sevilla,0,80,80,79,7,2017-09-23,18:30,6,2,3195,15.7,21.2,26.8,0.0,941.6,944.3,1.1,6.7
Girona,0,79,76,75,3,Barcelona,3,93,84,84,17,2017-09-23,20:45,6,0,0367,12.9,19.2,25.5,0.0,1003.3,1005.9,2.5,11.4
Espanyol,4,79,78,76,3,Deportivo de La Coruña,1,79,77,77,6,2017-09-24,12:00,6,2,0076,18.6,22.3,26.0,0.0,1017.7,1019.7,5.3,10.8
Las Palmas,0,77,74,75,5,Leganés,2,74,75,74,3,2017-09-24,16:15,6,0,C659M,22.0,23.8,25.6,0.0,1007.4,1012.5,0.8,6.1
Getafe,4,75,74,75,4,Villarreal,0,79,79,80,6,2017-09-24,18:30,6,2,3195,16.6,22.8,29.0,0.0,942.0,945.6,1.4,8.3
Eibar,0,77,78,75,3,Celta de Vigo,4,78,78,78,6,2017-09-24,18:30,6,0,1037Y,11.7,19.8,27.8,0.0,967.1,971.2,1.4,6.9
Real Sociedad,2,80,78,76,11,Valencia,3,80,80,80,9,2017-09-24,20:45,6,0,1014A,15.3,19.5,23.7,1.7,1016.4,1020.4,1.9,8.3
Betis,4,79,79,76,6,Levante,0,75,76,75,8,2017-09-25,21:00,6,2,5783,17.0,25.5,34.0,0.0,1013.0,1017.6,2.5,10.8
Celta de Vigo,3,78,78,78,10,Girona,3,79,76,75,3,2017-09-29,21:00,7,1,1495,14.1,17.7,21.3,0.5,991.5,993.7,1.9,9.7
Leganés,0,74,75,74,5,Atlético de Madrid,0,85,82,83,12,2017-09-30,13:00,7,1,3195,17.0,22.2,27.4,0.0,940.6,944.1,1.1,8.9
Sevilla,2,80,80,79,7,Málaga,0,75,75,75,4,2017-09-30,16:15,7,2,5783,17.8,25.6,33.5,0.0,1012.0,1017.3,1.7,7.2
Levante,0,75,76,75,8,Alavés,2,77,75,74,1,2017-09-30,18:30,7,0,8414A,15.2,20.6,26.0,0.0,1010.0,1014.0,2.8,9.2
Deportivo de La Coruña,2,79,77,77,7,Getafe,1,75,74,75,8,2017-09-30,20:45,7,2,1387,14.3,17.6,20.8,1.0,1015.3,1017.1,1.7,6.9
Valencia,3,80,80,80,12,Athletic Club,2,81,79,78,7,2017-10-01,12:00,7,2,8414A,18.0,22.2,26.4,0.0,1012.1,1015.3,1.9,6.7
Real Madrid,2,86,86,86,11,Espanyol,0,79,78,76,7,2017-10-01,16:15,7,2,3195,17.4,21.7,26.0,0.0,942.6,946.4,0.8,6.7
Real Sociedad,4,80,78,76,13,Betis,4,79,79,76,10,2017-10-01,18:30,7,1,1014A,14.4,17.2,20.1,21.6,1021.5,1024.3,2.8,8.9
