Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles.1,Ataque.1,Medio.1,Defensa.1,Goles_Acumulados.1,Día,Hora,Jornada,Resultado,cod_est,tmin,tmed,tmax,prec,presmin,presmax,velmedia,rachaviento
Barcelona,3,93,84,84,20,Las Palmas,0,77,74,75,5,2017-10-01,18:30,7,2,0076,18.4,20.0,21.6,0.7,1018.9,1022.1,2.8,11.7
Villarreal,3,79,79,80,6,Eibar,0,77,78,75,3,2017-10-01,20:45,7,2,8500A,19.0,22.6,26.1,0.0,1014.1,1017.4,1.4,5.0
Espanyol,0,79,78,76,7,Levante,0,75,76,75,8,2017-10-13,21:00,8,1,0076,18.2,21.8,25.3,0.0,1024.6,1026.2,2.8,6.1
Getafe,1,75,74,75,9,Real Madrid,2,86,86,86,13,2017-10-14,13:00,8,0,3195,14.5,20.5,26.5,0.0,946.2,949.7,1.1,4.7
Athletic Club,1,81,79,78,9,Sevilla,0,80,80,79,9,2017-10-14,16:15,8,2,1082,15.5,23.6,31.7,0.0,1015.4,1020.8,2.8,8.9
Alavés,0,77,75,74,3,Real Sociedad,2,80,78,76,17,2017-10-14,18:30,8,0,9091R,8.3,17.6,26.8,0.05,963.5,966.1,2.2,8.9
Atlético de Madrid,1,85,82,83,12,Barcelona,1,93,84,84,23,2017-10-14,20:45,8,1,3195,14.5,20.5,26.5,0.0,946.2,949.7,1.1,4.7
Girona,1,79,76,75,6,Villarreal,2,79,79,80,9,2017-10-15,12:00,8,0,0367,11.4,19.0,26.6,0.05,1009.7,1012.1,4.4,10.8
Betis,3,79,79,76,14,Valencia,6,80,80,80,15,2017-10-15,16:15,8,0,5783,16.9,26.3,35.7,0.0,1014.8,1018.9,1.7,8.3
Eibar,0,77,78,75,3,Deportivo de La Coruña,0,79,77,77,9,2017-10-15,18:30,8,1,1037Y,17.7,22.8,27.9,0.0,971.5,974.7,1.9,19.4
Málaga,0,75,75,75,4,Leganés,2,74,75,74,5,2017-10-15,20:45,8,0,6155A,15.6,21.0,26.3,0.0,1021.7,1024.5,3.1,7.8
Las Palmas,2,77,74,75,5,Celta de Vigo,5,78,78,78,13,2017-10-16,21:00,8,0,C659M,22.3,26.3,30.3,0.0,1010.5,1014.2,2.2,7.5
Levante,1,75,76,75,8,Getafe,1,75,74,75,10,2017-10-21,13:00,9,1,8414A,11.9,20.7,29.5,0.0,1011.4,1015.1,1.9,8.9
Barcelona,2,93,84,84,24,Málaga,0,75,75,75,4,2017-10-21,16:15,9,2,0076,15.0,19.6,24.1,0.1,1018.6,1022.3,3.9,7.8
Valencia,4,80,80,80,21,Sevilla,0,80,80,79,9,2017-10-21,18:30,9,2,8414A,11.9,20.7,29.5,0.0,1011.4,1015.1,1.9,8.9
Betis,2,79,79,76,17,Alavés,0,77,75,74,3,2017-10-21,20:45,9,2,5783,17.9,23.2,28.5,0.0,1017.5,1021.0,1.1,6.7
Villarreal,4,79,79,80,11,Las Palmas,0,77,74,75,7,2017-10-22,12:00,9,2,8500A,15.1,19.2,23.3,0.0,1017.1,1020.5,1.9,7.8
Real Madrid,3,86,86,86,15,Eibar,0,77,78,75,3,2017-10-22,16:15,9,2,3195,10.8,14.4,17.9,0.0,947.3,950.5,0.8,6.4
Leganés,1,74,75,74,7,Athletic Club,0,81,79,78,10,2017-10-22,18:30,9,2,3195,10.8,14.4,17.9,0.0,947.3,950.5,0.8,6.4
Celta de Vigo,0,78,78,78,18,Atlético de Madrid,1,85,82,83,13,2017-10-22,20:45,9,0,1495,7.6,13.0,18.5,0.0,996.3,999.9,1.4,5.8
Deportivo de La Coruña,1,79,77,77,9,Girona,2,79,76,75,7,2017-10-23,20:00,9,0,1387,9.1,14.3,19.5,0.0,1015.9,1020.1,2.2,3.9
Real Sociedad,1,80,78,76,19,Espanyol,1,79,78,76,7,2017-10-23,21:00,9,1,1014A,10.4,15.2,19.9,0.0,1025.6,1028.0,2.2,6.7
Alavés,1,77,75,74,3,Valencia,2,80,80,80,25,2017-10-28,13:00,10,0,9091R,3.5,10.0,16.4,0.0,968.7,972.2,3.1,8.9
Sevilla,2,80,80,79,9,Leganés,1,74,75,74,8,2017-10-28,18:30,10,2,5783,12.9,22.2,31.6,0.0,1015.0,1018.5,3.3,10.3
Atlético de Madrid,1,85,82,83,14,Villarreal,1,79,79,80,15,2017-10-28,20:45,10,1,3195,12.0,17.0,22.0,0.0,946.0,949.5,1.4,6.7
Athletic Club,0,81,79,78,10,Barcelona,2,93,84,84,26,2017-10-28,22:30,10,0,1082,9.1,14.2,19.2,0.05,1024.8,1028.2,1.1,6.7
Málaga,2,75,75,75,4,Celta de Vigo,1,78,78,78,18,2017-10-29,12:00,10,2,6156X,16.2,21.0,25.7,0.0,1012.2,1017.4,1.9,5.0
Girona,2,79,76,75,9,Real Madrid,1,86,86,86,18,2017-10-29,16:15,10,2,9585,7.6,16.4,25.2,0.0,1000.3,1006.3,2.5,7.8
Getafe,2,75,74,75,11,Real Sociedad,1,80,78,76,20,2017-10-29,18:30,10,2,3195,10.0,15.8,21.5,0.0,942.2,947.0,0.8,8.3
Eibar,2,77,78,75,3,Levante,2,75,76,75,9,2017-10-29,20:45,10,1,1037Y,7.6,10.4,13.2,10.8,973.0,978.0,0.3,3.6
Espanyol,1,79,78,76,8,Betis,0,79,79,76,19,2017-10-30,21:00,10,2,0076,12.4,16.8,21.3,4.4,1015.3,1019.8,3.9,10.8
Las Palmas,1,77,74,75,7,Deportivo de La Coruña,3,79,77,77,10,2017-10-30,21:00,10,0,C659M,20.7,22.8,25.0,0.0,1006.8,1009.0,2.2,5.6
Betis,2,79,79,76,19,Getafe,2,75,74,75,13,2017-11-03,21:00,11,1,5783,16.2,17.7,19.2,17.0,1008.9,1011.7,1.4,5.8
Alavés,1,77,75,74,4,Espanyol,0,79,78,76,9,2017-11-04,13:00,11,2,9091R,2.4,8.4,14.5,3.8,951.5,958.5,1.1,7.8
Barcelona,2,93,84,84,28,Sevilla,1,80,80,79,11,2017-11-04,16:15,11,2,0076,15.6,19.4,23.2,4.9,1008.6,1013.1,4.4,10.8
Deportivo de La Coruña,0,79,77,77,13,Atlético de Madrid,1,85,82,83,15,2017-11-04,18:30,11,0,1387,13.3,15.4,17.4,0.4,1002.6,1017.2,3.6,14.2
Valencia,3,80,80,80,27,Leganés,0,74,75,74,9,2017-11-04,20:45,11,2,8414A,12.7,17.6,22.5,0.0,1002.8,1006.4,3.6,10.3
Real Sociedad,3,80,78,76,21,Eibar,1,77,78,75,5,2017-11-05,12:00,11,2,1014A,11.0,13.2,15.5,9.9,1016.3,1025.7,4.2,13.3
Celta de Vigo,3,78,78,78,19,Athletic Club,1,81,79,78,10,2017-11-05,16:15,11,2,1495,7.5,11.2,14.9,0.0,993.5,999.3,2.5,9.7
Levante,1,75,76,75,11,Girona,2,79,76,75,11,2017-11-05,18:30,11,0,8414A,10.9,16.9,22.9,0.0,1006.3,1014.6,5.3,14.4
Villarreal,2,79,79,80,16,Málaga,0,75,75,75,6,2017-11-05,18:30,11,2,8500A,13.1,18.4,23.6,0.0,1007.6,1015.8,1.7,11.7
Real Madrid,3,86,86,86,19,Las Palmas,0,77,74,75,8,2017-11-05,20:45,11,2,3195,9.0,12.0,14.9,0.0,939.6,946.4,1.7,7.5
Girona,1,79,76,75,13,Real Sociedad,1,80,78,76,24,2017-11-17,21:00,12,1,0367,-0.2,10.4,21.1,0.0,1001.6,1004.8,0.6,5.0
Leganés,0,74,75,74,9,Barcelona,3,93,84,84,30,2017-11-18,13:00,12,0,3195,7.2,12.4,17.5,0.0,941.8,943.4,0.8,5.8
Sevilla,2,80,80,79,12,Celta de Vigo,1,78,78,78,22,2017-11-18,16:15,12,2,5783,5.4,14.4,23.4,0.0,1013.7,1016.5,1.1,5.8
Atlético de Madrid,0,85,82,83,16,Real Madrid,0,86,86,86,22,2017-11-18,18:30,12,1,3195,7.2,12.4,17.5,0.0,941.8,943.4,0.8,5.8
Getafe,4,75,74,75,15,Alavés,1,77,75,74,5,2017-11-18,20:45,12,2,3195,7.2,12.4,17.5,0.0,941.8,943.4,0.8,5.8
Athletic Club,1,81,79,78,11,Villarreal,1,79,79,80,18,2017-11-19,12:00,12,1,1082,3.9,10.2,16.5,0.05,1019.8,1022.2,0.8,6.1
Málaga,3,75,75,75,6,Deportivo de La Coruña,2,79,77,77,13,2017-11-19,16:15,12,2,6156X,9.7,15.1,20.5,0.0,1015.1,1017.9,1.4,5.6
Espanyol,0,79,78,76,9,Valencia,2,80,80,80,30,2017-11-19,18:30,12,0,0076,7.2,12.8,18.3,0.0,1019.6,1022.4,3.6,9.7
Las Palmas,0,77,74,75,8,Levante,2,75,76,75,12,2017-11-19,20:45,12,0,C659M,20.2,21.4,22.5,0.0,1006.9,1009.0,1.7,7.2
Eibar,5,77,78,75,6,Betis,0,79,79,76,21,2017-11-20,21:00,12,2,1037Y,0.9,8.0,15.0,0.0,970.3,974.2,0.3,2.8
Celta de Vigo,1,78,78,78,23,Leganés,0,74,75,74,9,2017-11-24,21:00,13,2,1495,11.0,12.6,14.1,22.6,983.5,988.6,1.1,9.2
Levante,0,75,76,75,14,Atlético de Madrid,5,85,82,83,16,2017-11-25,13:00,13,0,8414A,9.1,15.3,21.5,0.0,1009.4,1015.7,5.0,9.7
Real Madrid,3,86,86,86,22,Málaga,2,75,75,75,9,2017-11-25,16:15,13,2,3195,7.8,12.2,16.5,0.0,941.8,947.8,1.7,9.4
Betis,2,79,79,76,21,Girona,2,79,76,75,14,2017-11-25,18:30,13,1,5783,6.5,13.6,20.7,0.0,1016.1,1019.6,0.8,4.7
Alavés,1,77,75,74,6,Eibar,2,77,78,75,11,2017-11-25,20:45,13,0,9091R,2.8,7.0,11.1,0.5,957.1,969.3,3.6,11.7
Villarreal,2,79,79,80,19,Sevilla,3,80,80,79,14,2017-11-26,12:00,13,0,8500A,8.0,12.7,17.4,0.0,1018.3,1025.2,2.2,7.2
Deportivo de La Coruña,2,79,77,77,15,Athletic Club,2,81,79,78,12,2017-11-26,16:15,13,1,1387,6.1,10.3,14.5,0.0,1021.8,1024.6,2.5,8.9
Valencia,1,80,80,80,32,Barcelona,1,93,84,84,33,2017-11-26,18:30,13,1,8414A,5.8,11.4,17.1,0.0,1015.7,1023.0,2.8,9.7
Real Sociedad,2,80,78,76,25,Las Palmas,2,77,74,75,8,2017-11-26,20:45,13,1,1014A,5.5,9.2,12.8,0.3,1029.1,1033.0,1.1,5.8
Espanyol,1,79,78,76,9,Getafe,0,75,74,75,19,2017-11-27,21:00,13,2,0076,4.9,9.7,14.5,0.0,1022.4,1030.2,4.2,8.9
Málaga,0,75,75,75,11,Levante,0,75,76,75,14,2017-12-01,21:00,14,1,6156X,6.2,11.2,16.1,0.0,1012.3,1017.3,2.5,10.0
Sevilla,2,80,80,79,17,Deportivo de La Coruña,0,79,77,77,17,2017-12-02,13:00,14,2,5783,3.4,8.6,13.8,0.0,1019.6,1022.9,3.3,8.9
Atlético de Madrid,2,85,82,83,21,Real Sociedad,1,80,78,76,27,2017-12-02,16:15,14,2,3195,-0.5,3.0,6.5,0.0,944.2,945.8,1.1,11.4
Barcelona,2,93,84,84,34,Celta de Vigo,2,78,78,78,24,2017-12-02,18:30,14,1,0076,1.9,6.8,11.6,0.0,1010.3,1018.0,5.3,12.5
Athletic Club,0,81,79,78,14,Real Madrid,0,86,86,86,25,2017-12-02,20:45,14,1,1082,2.8,6.1,9.4,6.0,1019.2,1025.4,1.4,15.3
Las Palmas,1,77,74,75,10,Betis,0,79,79,76,23,2017-12-03,12:00,14,2,C659M,19.3,20.2,21.2,0.0,1010.9,1013.9,1.7,6.4
Getafe,1,75,74,75,19,Valencia,0,80,80,80,33,2017-12-03,16:15,14,2,3195,0.0,4.2,8.5,0.0,945.8,952.4,0.6,7.5
Leganés,3,74,75,74,9,Villarreal,1,79,79,80,21,2017-12-03,18:30,14,2,3195,0.0,4.2,8.5,0.0,945.8,952.4,0.6,7.5
Eibar,3,77,78,75,13,Espanyol,1,79,78,76,10,2017-12-03,20:45,14,2,1037Y,-0.7,1.2,3.1,2.8,977.1,981.3,0.0,3.6
Girona,2,79,76,75,16,Alavés,3,77,75,74,7,2017-12-04,21:00,14,0,0367,-5.2,4.6,14.5,0.0,1013.0,1019.0,0.6,5.0
Alavés,2,77,75,74,10,Las Palmas,0,77,74,75,11,2017-12-08,21:00,15,2,9091R,2.1,5.6,9.1,1.8,965.4,967.6,1.7,8.3
Deportivo de La Coruña,1,79,77,77,17,Leganés,0,74,75,74,12,2017-12-09,13:00,15,2,1387,10.6,13.2,15.7,6.6,1009.9,1020.9,5.0,15.3
Valencia,2,80,80,80,33,Celta de Vigo,1,78,78,78,26,2017-12-09,16:15,15,2,8414A,6.3,10.9,15.5,0.0,1012.6,1016.6,2.8,7.2
Real Madrid,5,86,86,86,25,Sevilla,0,80,80,79,19,2017-12-09,18:30,15,2,3195,4.7,9.0,13.2,0.0,944.5,947.2,0.3,6.4
Getafe,0,75,74,75,20,Eibar,0,77,78,75,16,2017-12-09,20:45,15,1,3195,4.7,9.0,13.2,0.0,944.5,947.2,0.3,6.4
Real Sociedad,0,80,78,76,28,Málaga,2,75,75,75,11,2017-12-10,12:00,15,0,1014A,11.7,15.2,18.6,34.7,980.4,1013.5,6.4,16.4
Levante,1,75,76,75,14,Athletic Club,2,81,79,78,14,2017-12-10,16:15,15,0,8414A,7.4,13.0,18.5,0.0,992.5,1012.6,5.8,17.5
Villarreal,0,79,79,80,22,Barcelona,2,93,84,84,36,2017-12-10,18:30,15,0,8500A,8.3,14.2,20.0,0.0,992.6,1014.1,3.3,12.8
Betis,0,79,79,76,23,Atlético de Madrid,1,85,82,83,23,2017-12-10,20:45,15,0,5783,7.3,12.9,18.5,22.8,1003.7,1023.3,4.2,14.4
Espanyol,0,79,78,76,11,Girona,1,79,76,75,18,2017-12-11,21:00,15,0,0076,8.0,12.5,17.0,1.1,988.5,1003.7,6.4,18.9
Sevilla,0,80,80,79,19,Levante,0,75,76,75,15,2017-12-15,21:00,16,1,5783,10.7,15.0,19.3,0.2,1009.9,1016.9,5.0,10.8
Eibar,2,77,78,75,16,Valencia,1,80,80,80,35,2017-12-16,16:15,16,2,1037Y,4.4,6.1,7.8,18.1,965.1,977.8,1.7,8.9
Athletic Club,0,81,79,78,16,Real Sociedad,0,80,78,76,28,2017-12-16,18:30,16,1,1082,4.4,7.2,10.1,9.2,1012.4,1026.1,2.8,11.4
Atlético de Madrid,1,85,82,83,24,Alavés,0,77,75,74,12,2017-12-16,20:45,16,2,3195,2.0,5.8,9.7,0.0,938.2,948.3,2.2,10.3
Celta de Vigo,0,78,78,78,27,Villarreal,1,79,79,80,22,2017-12-17,12:00,16,0,1495,1.0,6.3,11.6,0.0,999.7,1004.2,0.8,7.8
Barcelona,4,93,84,84,38,Deportivo de La Coruña,0,79,77,77,18,2017-12-17,16:15,16,2,0076,4.1,9.7,15.3,0.0,1022.5,1029.2,3.6,8.9
Las Palmas,2,77,74,75,11,Espanyol,2,79,78,76,11,2017-12-17,18:30,16,1,C659M,17.9,18.8,19.8,0.0,1013.4,1016.2,2.2,8.6
Girona,1,79,76,75,19,Getafe,0,75,74,75,20,2017-12-17,20:45,16,2,0367,-4.6,4.2,12.9,0.0,1006.6,1013.6,1.1,6.7
Málaga,0,75,75,75,13,Betis,2,79,79,76,23,2017-12-18,21:00,16,0,6156X,5.5,11.5,17.5,0.0,1020.4,1027.1,1.4,7.5
Leganés,1,74,75,74,12,Real Madrid,3,86,86,86,30,2018-02-21,18:45,16,0,3195,3.2,7.6,12.0,0.0,931.6,937.6,4.2,13.9
Levante,0,75,76,75,15,Leganés,0,74,75,74,13,2017-12-19,21:30,17,1,8414A,7.3,10.8,14.2,0.05,1015.0,1025.8,2.2,12.5
Getafe,2,75,74,75,20,Las Palmas,0,77,74,75,13,2017-12-20,19:30,17,2,3195,1.8,6.8,11.7,0.0,951.6,954.2,1.1,5.8
