Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles.1,Ataque.1,Medio.1,Defensa.1,Goles_Acumulados.1,Día,Hora,Jornada,Resultado,cod_est,tmin,tmed,tmax,prec,presmin,presmax,velmedia,rachaviento
Las Palmas,0,73,71,70,3,Rayo Vallecano,1,75,75,74,1,2015-09-20,20:30,4,0,C659M,"22,6","24,4","26,3",-,"1007,7","1010,8","2,2","5,8"
Espanyol,1,76,75,74,5,Valencia,0,79,80,79,2,2015-09-22,20:00,5,2,0076,"17,2","21,2","25,3","0,0","1010,0","1013,5","5,3","13,9"
Atlético de Madrid,2,81,80,81,7,Getafe,0,73,75,74,3,2015-09-22,20:00,5,2,3195,"13,7","21,0","28,4","0,0","936,1","939,3","1,7","10,0"
Granada,0,73,73,74,4,Real Sociedad,3,77,77,76,2,2015-09-22,22:00,5,0,5530E,"13,5","22,4","31,3","0,0","948,6","952,4","4,2","12,5"
Levante,2,76,75,73,3,Eibar,2,74,73,72,5,2015-09-23,20:00,5,1,8414A,"16,7","23,2","29,7","0,0","1004,9","1010,4","3,1","8,9"
Celta de Vigo,4,77,76,76,10,Barcelona,1,91,85,82,8,2015-09-23,20:00,5,2,1495,"11,6","17,8","24,0","0,0","988,4","990,5","2,8","7,2"
Rayo Vallecano,2,75,75,74,2,Sporting de Gijón,1,73,74,73,3,2015-09-23,20:00,5,2,3195,"15,0","19,6","24,1","0,0","937,6","941,8","3,1","10,3"
Athletic Club,1,78,78,78,4,Real Madrid,2,86,86,83,12,2015-09-23,21:00,5,0,1082,"14,3","16,0","17,6","3,2","1012,5","1017,7","0,6","9,7"
Málaga,0,75,76,75,0,Villarreal,1,79,79,79,10,2015-09-23,22:00,5,0,6156X,"20,9","28,2","35,6","0,0","1005,2","1010,6","3,3","10,8"
Las Palmas,2,73,71,70,3,Sevilla,0,79,80,80,2,2015-09-23,22:00,5,2,C659M,"24,1","27,1","30,1","0,0","1005,8","1009,1","1,4","5,8"
Betis,1,77,75,75,2,Deportivo de La Coruña,2,79,74,74,6,2015-09-24,22:05,5,0,5783,"16,2","23,0","29,9","0,0","1012,0","1015,3","3,1","8,3"
Valencia,1,79,80,79,2,Granada,0,73,73,74,4,2015-09-25,20:30,6,2,8414A,"13,4","20,8","28,1","0,0","1008,3","1011,3","2,8","8,3"
Barcelona,2,91,85,82,9,Las Palmas,1,73,71,70,5,2015-09-26,16:00,6,2,0076,"17,6","20,8","24,1","0,0","1016,5","1018,7","3,1","8,9"
Real Madrid,0,86,86,83,14,Málaga,0,75,76,75,0,2015-09-26,18:15,6,1,3195,"16,6","22,3","28,0","0,0","940,0","942,0","0,8","11,1"
Villarreal,1,79,79,79,11,Atlético de Madrid,0,81,80,81,9,2015-09-26,20:30,6,2,8500A,"16,9","21,6","26,4","0,0","1011,3","1013,1","2,8","7,2"
Sevilla,3,79,80,80,2,Rayo Vallecano,2,75,75,74,4,2015-09-26,20:30,6,2,5783,"16,6","24,3","32,0","0,0","1010,5","1013,7","1,7","7,2"
Eibar,1,74,73,72,7,Celta de Vigo,1,77,76,76,14,2015-09-26,22:00,6,1,1050J,"11,5","16,0","20,5","0,0","1006,1","1008,3","1,7","6,7"
Sporting de Gijón,1,73,74,73,4,Betis,2,77,75,75,3,2015-09-27,12:00,6,0,1207U,"12,9","17,4","21,9","0,0","1014,2","1020,2","2,5","8,9"
Deportivo de La Coruña,3,79,74,74,8,Espanyol,0,76,75,74,6,2015-09-27,16:00,6,2,1387,"14,7","19,2","23,8","0,0","1011,7","1013,8","2,2","7,8"
Getafe,3,73,75,74,3,Levante,0,76,75,73,5,2015-09-27,18:15,6,2,3195,"16,0","21,2","26,5","0,0","940,7","943,7","0,3","8,3"
Real Sociedad,0,77,77,76,5,Athletic Club,0,78,78,78,5,2015-09-27,20:30,6,1,1014A,"13,5","17,8","22,2","0,0","1020,0","1023,5","2,5","7,2"
Celta de Vigo,0,77,76,76,15,Getafe,0,73,75,74,6,2015-10-02,20:30,7,1,1495,"9,6","15,6","21,5","0,0","986,3","992,1","2,2","9,7"
Sevilla,2,79,80,80,5,Barcelona,1,91,85,82,11,2015-10-03,16:00,7,2,5783,"20,1","23,8","27,4","0,0","1011,0","1015,0","4,4","10,8"
Granada,1,73,73,74,4,Deportivo de La Coruña,1,79,74,74,11,2015-10-03,18:15,7,1,5530E,"15,3","21,3","27,3","0,0","950,6","954,3","2,8","9,2"
Espanyol,1,76,75,74,6,Sporting de Gijón,2,73,74,73,5,2015-10-03,20:30,7,0,0076,"16,2","20,0","23,8",Ip,"1013,8","1018,0","3,9","14,4"
Las Palmas,0,73,71,70,6,Eibar,2,74,73,72,8,2015-10-03,22:00,7,0,C659M,"23,6","26,0","28,3","0,0","1007,4","1010,4","2,2","9,4"
Málaga,3,75,76,75,0,Real Sociedad,1,77,77,76,5,2015-10-03,22:05,7,2,6156X,"19,8","22,9","26,0","0,0","1009,3","1012,2","1,7","6,1"
Rayo Vallecano,0,75,75,74,6,Betis,2,77,75,75,5,2015-10-04,12:00,7,0,3195,"15,5","18,8","22,0","4,2","940,2","942,8","2,2","9,2"
Athletic Club,3,78,78,78,5,Valencia,1,79,80,79,3,2015-10-04,16:00,7,2,1082,"10,1","18,8","27,4","0,9","1003,3","1012,0","3,9","18,9"
Levante,1,76,75,73,5,Villarreal,0,79,79,79,12,2015-10-04,18:15,7,2,8414A,"15,3","21,4","27,4","0,0","1009,9","1012,6","1,9","10,3"
Atlético de Madrid,1,81,80,81,9,Real Madrid,1,86,86,83,14,2015-10-04,20:30,7,1,3195,"15,5","18,8","22,0","4,2","940,2","942,8","2,2","9,2"
Real Madrid,3,86,86,83,15,Levante,0,76,75,73,6,2015-10-17,16:00,8,2,3195,"12,7","17,6","22,6","8,4","934,9","937,3","1,1","5,6"
Eibar,1,74,73,72,10,Sevilla,1,79,80,80,7,2015-10-17,18:15,8,1,1050J,"5,5","12,8","20,1","0,6","996,9","1001,9","0,3","7,2"
Barcelona,5,91,85,82,12,Rayo Vallecano,2,75,75,74,6,2015-10-17,20:30,8,2,0076,"11,2","15,2","19,3","0,0","1014,3","1017,3","2,8","8,9"
Valencia,3,79,80,79,4,Málaga,0,75,76,75,3,2015-10-17,22:00,8,2,8414A,"16,6","19,6","22,5",Ip,"1006,2","1008,9","3,1","8,3"
Betis,1,77,75,75,7,Espanyol,3,76,75,74,7,2015-10-17,22:05,8,0,5783,"17,0","19,7","22,4","37,7","1004,2","1008,7","4,2","13,3"
Villarreal,1,79,79,79,12,Celta de Vigo,2,77,76,76,15,2015-10-18,12:00,8,0,8500A,"15,8","19,4","23,1",Ip,"1006,2","1009,6","1,9","5,6"
Real Sociedad,0,77,77,76,6,Atlético de Madrid,2,81,80,81,10,2015-10-18,16:00,8,0,1014A,"15,3","19,2","23,2",Ip,"1008,8","1011,4","1,4","5,8"
Getafe,4,73,75,74,6,Las Palmas,0,73,71,70,6,2015-10-18,18:15,8,2,3195,"13,6","16,0","18,3","20,9","934,0","937,5","0,8","6,4"
Deportivo de La Coruña,2,79,74,74,12,Athletic Club,2,78,78,78,8,2015-10-18,20:30,8,1,1387,"15,3","17,4","19,5","8,6","1001,3","1003,8","1,7","6,4"
Sporting de Gijón,3,73,74,73,7,Granada,3,73,73,74,5,2015-10-19,20:30,8,1,1207U,"14,9","16,0","17,0","23,8","1006,7","1016,1","3,6","11,7"
Rayo Vallecano,3,75,75,74,8,Espanyol,0,76,75,74,10,2015-10-23,20:30,9,2,3195,"9,3","13,8","18,4","0,0","942,0","944,5","1,1","6,9"
Celta de Vigo,1,77,76,76,17,Real Madrid,3,86,86,83,18,2015-10-24,16:00,9,0,1495,"13,7","17,1","20,5",Ip,"986,1","991,9","1,9","6,7"
Granada,1,73,73,74,8,Betis,1,77,75,75,8,2015-10-24,18:15,9,1,5530E,"11,7","16,0","20,4","0,0","951,0","954,6","0,6","5,0"
Sevilla,5,79,80,80,8,Getafe,0,73,75,74,10,2015-10-24,20:30,9,2,5783,"15,9","19,8","23,7","0,0","1012,4","1015,7","0,8","4,7"
Málaga,2,75,76,75,3,Deportivo de La Coruña,0,79,74,74,14,2015-10-24,22:05,9,2,6156X,"17,1","19,6","22,0","0,2","1011,2","1014,4","1,4","3,9"
Levante,0,76,75,73,6,Real Sociedad,4,77,77,76,6,2015-10-25,12:00,9,0,8414A,"14,6","17,4","20,1","1,1","1011,1","1014,8","3,1","8,9"
Las Palmas,0,73,71,70,6,Villarreal,0,79,79,79,13,2015-10-25,16:00,9,1,C659M,"21,1","23,2","25,4","0,0","1007,1","1010,5","2,2","6,7"
Barcelona,3,91,85,82,17,Eibar,1,74,73,72,11,2015-10-25,18:15,9,2,0076,"14,5","17,4","20,3","2,5","1018,7","1022,3","3,9","8,9"
Atlético de Madrid,2,81,80,81,12,Valencia,1,79,80,79,7,2015-10-25,20:30,9,2,3195,"13,4","16,9","20,4","0,0","940,6","944,1","1,7","6,7"
Athletic Club,3,78,78,78,10,Sporting de Gijón,0,73,74,73,10,2015-10-26,20:30,9,2,1082,"15,5","19,8","24,1","0,2","1002,6","1009,7","3,9","12,5"
Deportivo de La Coruña,1,79,74,74,14,Atlético de Madrid,1,81,80,81,14,2015-10-30,20:30,10,1,1387,"17,6","20,0","22,4","0,0","1002,5","1004,5","4,4","17,2"
Real Madrid,3,86,86,83,21,Las Palmas,1,73,71,70,6,2015-10-31,16:00,10,2,3195,"12,0","15,8","19,7","0,0","940,4","945,8","1,7","6,9"
Valencia,3,79,80,79,8,Levante,0,76,75,73,6,2015-10-31,18:15,10,2,8414A,"13,7","17,4","21,0","0,3","1012,2","1016,9","2,2","9,7"
Villarreal,2,79,79,79,13,Sevilla,1,79,80,80,13,2015-10-31,18:15,10,2,8500A,"14,9","16,4","17,9","1,4","1014,4","1019,6","1,1","4,7"
Getafe,0,73,75,74,10,Barcelona,2,91,85,82,20,2015-10-31,20:30,10,0,3195,"12,0","15,8","19,7","0,0","940,4","945,8","1,7","6,9"
Real Sociedad,2,77,77,76,10,Celta de Vigo,3,77,76,76,18,2015-10-31,22:05,10,0,1014A,"14,3","20,2","26,2","0,0","1012,0","1021,5","2,2","11,4"
Eibar,1,74,73,72,12,Rayo Vallecano,0,75,75,74,11,2015-11-01,12:00,10,2,1050J,"11,7","16,4","21,1","0,0","1005,7","1011,3","1,7","12,2"
Espanyol,1,76,75,74,10,Granada,1,73,73,74,9,2015-11-01,16:00,10,1,0076,"14,1","17,2","20,2","1,8","1023,8","1026,4","8,6","16,4"
Sporting de Gijón,1,73,74,73,10,Málaga,0,75,76,75,5,2015-11-01,18:15,10,2,1207U,"8,5","14,0","19,4","0,0",-,-,"1,1","5,6"
Betis,1,77,75,75,9,Athletic Club,3,78,78,78,13,2015-11-01,20:30,10,0,5783,"15,2","20,0","24,7","22,8","1005,1","1015,1","5,0","15,0"
Las Palmas,2,73,71,70,7,Real Sociedad,0,77,77,76,12,2015-11-06,20:30,11,2,C659M,"21,0","23,2","25,3","0,0","1012,2","1014,4","1,7","5,0"
Celta de Vigo,1,77,76,76,21,Valencia,5,79,80,79,11,2015-11-07,16:00,11,0,1495,"15,5","19,6","23,8",Ip,"992,3","996,3","1,1","4,7"
Levante,1,76,75,73,6,Deportivo de La Coruña,1,79,74,74,15,2015-11-07,18:15,11,1,8414A,"11,3","17,6","24,0","1,1","1019,1","1022,1","1,1","5,8"
Eibar,3,74,73,72,13,Getafe,1,73,75,74,10,2015-11-07,20:30,11,2,1050J,"11,7","18,4","25,2","0,0","1010,1","1015,0","1,9","13,3"
Rayo Vallecano,2,75,75,74,11,Granada,1,73,73,74,10,2015-11-07,20:30,11,2,3195,"11,5","16,4","21,4","0,0","949,3","951,1","0,8","3,9"
Málaga,0,75,76,75,5,Betis,1,77,75,75,10,2015-11-07,22:05,11,0,6156X,"14,2","18,6","22,9","0,0","1019,7","1021,9","1,9","7,8"
Athletic Club,2,78,78,78,16,Espanyol,1,76,75,74,11,2015-11-08,12:00,11,2,1082,"13,2","20,4","27,7","0,0","1018,9","1026,2","3,6","11,4"
Barcelona,3,91,85,82,22,Villarreal,0,79,79,79,15,2015-11-08,16:00,11,2,0076,"14,0","17,0","20,1","0,0","1028,8","1030,9","3,6","9,2"
Atlético de Madrid,1,81,80,81,15,Sporting de Gijón,0,73,74,73,11,2015-11-08,18:15,11,2,3195,"12,6","16,7","20,8","0,0","950,3","953,7","1,7","6,1"
Sevilla,3,79,80,80,14,Real Madrid,2,86,86,83,24,2015-11-08,20:30,11,2,5783,"13,7","20,4","27,1","0,0","1019,3","1024,8","4,7","9,7"
Real Sociedad,2,77,77,76,12,Sevilla,0,79,80,80,17,2015-11-21,16:00,12,2,1014A,"7,7","13,3","18,9","19,4","1010,3","1017,2","5,8","18,6"
Real Madrid,0,86,86,83,26,Barcelona,4,91,85,82,25,2015-11-21,18:15,12,0,3195,"4,4","10,2","15,9","0,6","935,1","945,8","2,5","15,3"
Espanyol,2,76,75,74,12,Málaga,0,75,76,75,5,2015-11-21,20:30,12,2,0076,"9,2","14,6","19,9","0,0","1000,9","1011,0","10,8","22,8"
Valencia,1,79,80,79,16,Las Palmas,1,73,71,70,9,2015-11-21,22:00,12,1,8414A,"9,3","15,0","20,8","0,0","1000,9","1010,3","8,1","18,6"
Deportivo de La Coruña,2,79,74,74,16,Celta de Vigo,0,77,76,76,22,2015-11-21,22:05,12,2,1387,"10,4","13,4","16,4","5,4","1012,8","1019,8","6,9","18,6"
Sporting de Gijón,0,73,74,73,11,Levante,3,76,75,73,7,2015-11-22,12:00,12,0,1207U,"5,1","7,8","10,5","18,8",-,-,"2,2","9,7"
Villarreal,1,79,79,79,15,Eibar,1,74,73,72,16,2015-11-22,16:00,12,1,8500A,"10,4","12,6","14,8","0,0","1005,0","1008,8","2,5","11,9"
Granada,2,73,73,74,11,Athletic Club,0,78,78,78,18,2015-11-22,18:15,12,2,5530E,"1,0","7,2","13,4","0,0","947,5","950,5","2,8","5,3"
Betis,0,77,75,75,11,Atlético de Madrid,1,81,80,81,16,2015-11-22,20:30,12,0,5783,"5,9","11,0","16,2","0,0","1011,8","1016,3","2,5","8,3"
Getafe,1,73,75,74,11,Rayo Vallecano,1,75,75,74,13,2015-11-23,20:30,12,1,3195,"2,7","6,4","10,2","0,0","937,8","946,1","2,2","10,3"
Levante,0,76,75,73,10,Betis,1,77,75,75,11,2015-11-27,20:30,13,0,8414A,"7,8","13,4","18,9","0,0","1005,9","1010,1","1,9","11,4"
Barcelona,4,91,85,82,29,Real Sociedad,0,77,77,76,14,2015-11-28,16:00,13,2,0076,"5,8","11,5","17,2","0,0","1015,5","1027,2","3,6","8,9"
Atlético de Madrid,1,81,80,81,17,Espanyol,0,76,75,74,14,2015-11-28,18:15,13,2,3195,"5,0","10,2","15,4","0,0","941,9","951,1","1,1","6,9"
Málaga,2,75,76,75,5,Granada,2,73,73,74,13,2015-11-28,20:30,13,1,6156X,"9,2","15,9","22,6","0,0","1013,8","1022,0","1,7","4,7"
Las Palmas,0,73,71,70,10,Deportivo de La Coruña,2,79,74,74,18,2015-11-28,22:00,13,0,C659M,"19,8","21,4","23,0","0,0","1009,7","1014,2","1,9","6,9"
Celta de Vigo,2,77,76,76,22,Sporting de Gijón,1,73,74,73,11,2015-11-28,22:05,13,2,1495,"4,9","9,4","13,8","0,0","993,6","1000,2","5,6","11,7"
Getafe,2,73,75,74,12,Villarreal,0,79,79,79,16,2015-11-29,12:00,13,2,3195,"2,4","7,5","12,6","0,0","951,1","956,4","0,3","3,6"
Eibar,0,74,73,72,17,Real Madrid,2,86,86,83,26,2015-11-29,16:00,13,0,1050J,"4,4","8,6","12,9","0,1","1016,5","1021,3","0,3","3,3"
Rayo Vallecano,0,75,75,74,14,Athletic Club,3,78,78,78,18,2015-11-29,18:15,13,0,3195,"2,4","7,5","12,6","0,0","951,1","956,4","0,3","3,6"
Sevilla,1,79,80,80,17,Valencia,0,79,80,79,17,2015-11-29,20:30,13,2,5783,"7,4","14,5","21,6","0,0","1022,8","1028,6","5,6","10,8"
Real Madrid,4,86,86,83,28,Getafe,1,73,75,74,14,2015-12-05,16:00,14,2,3195,"6,8","11,7","16,6","0,0","950,6","955,3","0,8","4,2"
Granada,0,73,73,74,15,Atlético de Madrid,2,81,80,81,18,2015-12-05,18:15,14,0,5530E,"0,7","10,7","20,7","0,0","961,8","966,1","1,4","9,7"
Valencia,1,79,80,79,17,Barcelona,1,91,85,82,33,2015-12-05,20:30,14,1,8414A,"4,2","10,8","17,3","0,0","1022,2","1027,3","2,2","6,1"
Deportivo de La Coruña,1,79,74,74,20,Sevilla,1,79,80,80,18,2015-12-05,22:00,14,1,1387,"10,1","13,6","17,2","0,0","1018,4","1024,5","2,5","8,3"
Betis,1,77,75,75,12,Celta de Vigo,1,77,76,76,24,2015-12-05,22:05,14,1,5783,"7,1","14,8","22,4","0,0","1024,2","1027,9","1,7","6,1"
Real Sociedad,2,77,77,76,14,Eibar,1,74,73,72,17,2015-12-06,12:00,14,2,1014A,"8,4","13,8","19,2","0,0","1025,3","1027,3","4,4","8,9"
Villarreal,2,79,79,79,16,Rayo Vallecano,1,75,75,74,14,2015-12-06,16:00,14,2,8500A,"12,0","14,8","17,7","0,0","1024,3","1026,3","1,7","3,9"
Sporting de Gijón,3,73,74,73,12,Las Palmas,1,73,71,70,10,2015-12-06,18:15,14,2,1207U,"4,3","11,5","18,7","0,0",-,-,"1,4","4,2"
Athletic Club,0,78,78,78,21,Málaga,0,75,76,75,7,2015-12-06,20:30,14,1,1082,"7,9","13,0","18,2","0,0","1021,2","1023,7","5,0","11,7"
Espanyol,1,76,75,74,14,Levante,1,76,75,73,10,2015-12-07,20:30,14,1,0076,"11,6","14,0","16,3","0,0","1029,7","1032,1","2,2","7,2"
Getafe,1,73,75,74,15,Real Sociedad,1,77,77,76,16,2015-12-11,20:30,15,1,3195,"8,5","11,0","13,5","0,0","951,4","955,1","1,4","5,3"
Barcelona,2,91,85,82,34,Deportivo de La Coruña,2,79,74,74,21,2015-12-12,16:00,15,1,0076,"6,6","11,0","15,3","0,0","1023,9","1030,5","4,4","8,9"
Levante,1,76,75,73,11,Granada,2,73,73,74,15,2015-12-12,18:15,15,0,8414A,"9,2","12,2","15,2","0,0","1016,9","1023,5","1,1","4,2"
Celta de Vigo,1,77,76,76,25,Espanyol,0,76,75,74,15,2015-12-12,18:15,15,2,1495,"4,2","9,2","14,2","0,0","990,6","997,4","3,3","8,3"
Sevilla,2,79,80,80,19,Sporting de Gijón,0,73,74,73,15,2015-12-12,20:30,15,2,5783,"8,5","13,8","19,2","1,4","1020,0","1023,7","0,8","5,0"
Las Palmas,1,73,71,70,11,Betis,0,77,75,75,13,2015-12-12,22:05,15,2,C659M,"17,3","20,1","22,9","0,0","1012,3","1015,2","1,4","6,4"
Rayo Vallecano,1,75,75,74,15,Málaga,2,75,76,75,7,2015-12-13,12:00,15,0,3195,"5,1","8,6","12,2","0,0","943,2","946,0","0,8","6,4"
Eibar,1,74,73,72,18,Valencia,1,79,80,79,18,2015-12-13,16:00,15,1,1050J,"5,3","10,2","15,2","0,5","1002,6","1008,3","1,9","12,2"
Atlético de Madrid,2,81,80,81,20,Athletic Club,1,78,78,78,21,2015-12-13,18:15,15,2,3195,"5,1","8,6","12,2","0,0","943,2","946,0","0,8","6,4"
Villarreal,1,79,79,79,18,Real Madrid,0,86,86,83,32,2015-12-13,20:30,15,2,8500A,"8,2","12,3","16,4","0,0","1015,0","1018,9","1,9","6,9"
Valencia,2,79,80,79,19,Getafe,2,73,75,74,16,2015-12-19,16:00,16,1,8414A,"5,0","12,2","19,3","0,0","1015,8","1019,7","1,7","5,8"
Espanyol,1,76,75,74,15,Las Palmas,0,73,71,70,12,2015-12-19,18:15,16,2,0076,"8,3","12,2","16,2","0,0","1023,6","1026,9","2,5","10,8"
Betis,0,77,75,75,13,Sevilla,0,79,80,80,21,2015-12-19,20:30,16,1,5783,"6,2","14,1","22,0","0,0","1019,1","1024,1","0,8","5,8"
Deportivo de La Coruña,2,79,74,74,23,Eibar,0,74,73,72,19,2015-12-19,22:05,16,2,1387,"13,8","17,1","20,4","5,2","1002,3","1010,7","6,7","19,2"
Real Madrid,1,86,86,83,32,Rayo Vallecano,0,75,75,74,16,2015-12-20,16:00,16,2,3195,"6,4","10,8","15,3","0,0","944,6","950,3","0,8","8,6"
Real Sociedad,0,77,77,76,17,Villarreal,2,79,79,79,19,2015-12-20,18:15,16,0,1014A,"12,4","17,2","22,1","0,8","1016,5","1027,1","1,9","9,2"
Athletic Club,2,78,78,78,22,Levante,0,76,75,73,12,2015-12-20,18:15,16,2,1082,"9,5","14,3","19,1","0,1","1013,4","1023,3","1,7","9,2"
