Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles.1,Ataque.1,Medio.1,Defensa.1,Goles_Acumulados.1,Día,Hora,Jornada,Resultado,cod_est,tmin,tmed,tmax,prec,presmin,presmax,velmedia,rachaviento
Málaga,0,75,76,75,0,Sevilla,0,79,80,80,0,2015-08-21,20:30,1,1,6156X,"24,4","28,0","31,7","0,0","1010,4","1014,3","2,2","8,1"
Deportivo de La Coruña,0,79,74,74,0,Real Sociedad,0,77,77,76,0,2015-08-22,18:30,1,1,1387,"16,2","19,8","23,3","5,8","1004,5","1010,4","3,3","13,1"
Espanyol,1,76,75,74,0,Getafe,0,73,75,74,0,2015-08-22,18:30,1,2,0076,"23,5","26,2","28,8",Ip,"1010,1","1018,0","2,2","8,3"
Atlético de Madrid,1,81,80,81,0,Las Palmas,0,73,71,70,0,2015-08-22,20:30,1,2,3195,"17,4","24,6","31,7","0,0","934,1","942,7","2,5","11,7"
Rayo Vallecano,0,75,75,74,0,Valencia,0,79,80,79,0,2015-08-22,22:30,1,1,3195,"17,4","24,6","31,7","0,0","934,1","942,7","2,5","11,7"
Athletic Club,0,78,78,78,0,Barcelona,1,91,85,82,0,2015-08-23,18:30,1,0,1082,"15,9","21,9","27,9","0,1","997,7","1006,8","1,9","17,5"
Sporting de Gijón,0,73,74,73,0,Real Madrid,0,86,86,83,0,2015-08-23,20:30,1,1,1207U,"12,6","19,0","25,3","0,0","995,4","1004,9","2,5","15,0"
Levante,1,76,75,73,0,Celta de Vigo,2,77,76,76,0,2015-08-23,22:00,1,0,8414A,"20,2","26,7","33,2","0,0","999,2","1003,3","6,7","16,1"
Betis,1,77,75,75,0,Villarreal,1,79,79,79,0,2015-08-23,22:30,1,1,5783,"18,7","24,9","31,1","0,0","1009,1","1012,1","5,3","13,9"
Granada,1,73,73,74,0,Eibar,3,74,73,72,0,2015-08-24,20:30,1,0,5530E,"12,7","20,4","28,2","0,0","949,7","952,4","4,4","12,5"
Villarreal,3,79,79,79,1,Espanyol,1,76,75,74,1,2015-08-28,20:30,2,2,8500A,"21,0","25,6","30,2","0,0","1010,8","1014,4","2,2","6,9"
Real Sociedad,0,77,77,76,0,Sporting de Gijón,0,73,74,73,0,2015-08-29,18:30,2,1,1014A,"19,8","25,8","31,7","0,0","1012,2","1015,6","1,4","5,0"
Barcelona,1,91,85,82,1,Málaga,0,75,76,75,0,2015-08-29,20:30,2,2,0076,"22,7","26,0","29,4","0,0","1018,3","1020,5","3,9","6,7"
Celta de Vigo,3,77,76,76,2,Rayo Vallecano,0,75,75,74,0,2015-08-29,22:00,2,2,1495,"17,2","22,6","27,9",Ip,"983,9","987,0","1,9","7,8"
Real Madrid,5,86,86,83,0,Betis,0,77,75,75,1,2015-08-29,22:30,2,2,3195,"22,0","28,4","34,8","0,0","939,0","943,4","2,8","9,4"
Eibar,2,74,73,72,3,Athletic Club,0,78,78,78,0,2015-08-30,18:30,2,2,1050J,"18,2","26,4","34,7","3,7","998,7","1003,9","1,1","18,6"
Valencia,1,79,80,79,0,Deportivo de La Coruña,1,79,74,74,0,2015-08-30,20:30,2,1,8414A,"22,2","26,4","30,7","0,0","1008,9","1012,3","3,1","8,3"
Sevilla,0,79,80,80,0,Atlético de Madrid,3,81,80,81,1,2015-08-30,20:30,2,0,5783,"23,9","30,8","37,7","0,3","1007,7","1011,9","2,8","8,9"
Las Palmas,0,73,71,70,0,Levante,0,76,75,73,1,2015-08-30,22:30,2,1,C659M,"23,1","25,8","28,4","0,0","1006,6","1010,8","2,5","7,2"
Getafe,1,73,75,74,0,Granada,2,73,73,74,1,2015-08-30,22:30,2,0,3195,"21,5","28,2","34,8","2,3","936,7","941,9","2,5","20,8"
Levante,1,76,75,73,1,Sevilla,1,79,80,80,0,2015-09-11,20:30,3,1,8414A,"20,7","24,5","28,3",Ip,"1006,2","1008,4","3,1","11,7"
Espanyol,0,76,75,74,2,Real Madrid,6,86,86,83,5,2015-09-12,16:00,3,0,0076,"21,1","24,4","27,8","0,5","1011,6","1016,0","3,9","11,4"
Sporting de Gijón,0,73,74,73,0,Valencia,1,79,80,79,1,2015-09-12,18:15,3,0,1207U,"15,5","17,0","18,4","1,6","1003,0","1008,3","1,9","7,8"
Atlético de Madrid,1,81,80,81,4,Barcelona,2,91,85,82,2,2015-09-12,20:30,3,0,3195,"19,0","23,2","27,4","0,0","934,9","937,9","1,9","9,2"
Betis,1,77,75,75,1,Real Sociedad,0,77,77,76,0,2015-09-12,22:00,3,2,5783,"17,7","24,2","30,8","0,0","1008,5","1011,7","3,6","10,8"
Granada,1,73,73,74,3,Villarreal,3,79,79,79,4,2015-09-13,12:00,3,0,5530E,"13,0","20,8","28,7","0,0","947,8","951,2","3,1","10,8"
Athletic Club,3,78,78,78,0,Getafe,1,73,75,74,1,2015-09-13,16:00,3,2,1082,"15,9","19,4","23,0","3,0","1001,2","1005,2","3,3","17,5"
Celta de Vigo,3,77,76,76,5,Las Palmas,3,73,71,70,0,2015-09-13,18:15,3,1,1495,"12,1","15,7","19,3","27,5","978,7","985,3","4,7","11,4"
Málaga,0,75,76,75,0,Eibar,0,74,73,72,5,2015-09-13,20:30,3,1,6156X,"20,6","27,0","33,3","0,0","1004,8","1008,7","1,7","8,6"
Rayo Vallecano,1,75,75,74,0,Deportivo de La Coruña,3,79,74,74,1,2015-09-14,20:30,3,0,3195,"13,8","19,0","24,2","0,0","936,4","940,2","2,2","8,3"
Getafe,1,73,75,74,2,Málaga,0,75,76,75,0,2015-09-18,20:30,4,2,3195,"11,2","17,5","23,8","0,0","941,2","944,3","1,7","7,2"
Real Madrid,1,86,86,83,11,Granada,0,73,73,74,4,2015-09-19,16:00,4,2,3195,"13,2","19,3","25,4","0,0","944,2","947,7","0,8","6,1"
Valencia,0,79,80,79,2,Betis,0,77,75,75,2,2015-09-19,18:15,4,1,8414A,"15,7","21,2","26,8","0,0","1014,3","1017,0","3,9","7,8"
Eibar,0,74,73,72,5,Atlético de Madrid,2,81,80,81,5,2015-09-19,20:30,4,0,1050J,"9,2","14,7","20,2","0,0","1011,3","1014,5","1,4","5,8"
Real Sociedad,2,77,77,76,0,Espanyol,3,76,75,74,2,2015-09-19,22:00,4,0,1014A,"13,3","18,1","22,9","0,0","1024,1","1026,3","2,8","7,2"
Sevilla,1,79,80,80,1,Celta de Vigo,2,77,76,76,8,2015-09-20,12:00,4,0,5783,"17,6","25,2","32,9","0,0","1014,0","1017,8","0,8","8,3"
Deportivo de La Coruña,2,79,74,74,4,Sporting de Gijón,3,73,74,73,0,2015-09-20,16:00,4,0,1387,"12,7","17,2","21,6","0,0","1013,4","1016,3","2,2","6,4"
Villarreal,3,79,79,79,7,Athletic Club,1,78,78,78,3,2015-09-20,18:15,4,2,8500A,"16,8","22,4","27,9","0,0","1013,2","1017,7","2,5","6,9"
Barcelona,4,91,85,82,4,Levante,1,76,75,73,2,2015-09-20,20:30,4,2,0076,"18,4","21,2","24,0","0,0","1018,4","1021,8","4,4","10,8"
